barcode,name_file1,internal_conflict_file1,name_file2,internal_conflict_file2,status
5060170809976.0,,,Jamie Oliver paradicsom és bazsalikom tésztaszósz 400 g,False,only_in_file2
5063270105399.0,,,Lipton Classic zöld tea 20 filter 26 g,False,only_in_file2
5063270113691.0,,,Saga Strawberry ízesített gyümölcstea 20 filter 34 g,False,only_in_file2
50960767.0,,,"Halls erdei gyümölcsízű, töltetlen keménycukorka 33,5 g",False,only_in_file2
5098732000738.0,,,Chivers Olde English hagyományos angol narancsmarmelád 340 g,False,only_in_file2
5098732012663.0,,,Chivers Fruity Orange extra gyümölcsös narancsmarmelád 340 g,False,only_in_file2
5099873025871.0,,,"Woodford Reserve bourbon whiskey 43,2% 0,7 l",False,only_in_file2
5099873088654.0,,,"Jack Daniel's Single Barrel különlegesen érlelt Tennessee whiskey 45% 0,7 l",False,only_in_file2
5201704054763.0,,,Koliós laktózmentes görög feta sajt 150 g,False,only_in_file2
5202175001515.0,,,El Sabor sós nacho chips 225 g,False,only_in_file2
5202175001553.0,,,El Sabor nacho chips jalapeno ízesítéssel 225 g,False,only_in_file2
5202390023835.0,,,Violife Cheddar ízesítésű szeletek 100 g,False,only_in_file2
54088191.0,,,"Kinder Meglepetés belső tejes réteggel bevont tejcsokoládé figura, belsejében meglepetéssel 20 g",False,only_in_file2
5410093152879.0,,,SARINA FAM.MARGARIN VAJJAL400G,False,only_in_file2
5410768019018.0,,,Mellow Party cukormentes habcukor édesítőszerrel 75 g,False,only_in_file2
5411188081852.0,,,Alpro vaníliaízű szójaital hozzáadott kalciummal és vitaminokkal 1 l,False,only_in_file2
5411188110842.0,,,ALPRO mogyoróital 1 l,False,only_in_file2
5411188116844.0,,,Alpro UHT piros gyümölcsös szójaital hozzáadott kalciummal és vitaminokkal 1 l,False,only_in_file2
5411188122661.0,,,Alpro cukormentes mandulaital hozzáadott kalciummal és vitaminokkal 1 l,False,only_in_file2
5411188124689.0,,,Alpro cukormentes zabital kalciummal és vitaminokkal 1 l,False,only_in_file2
5411188130055.0,,,"Alpro Plant Protein UHT csokoládéízű szójaital hozzáadott kalciummal, B2- és D2-vitaminnal 1 l",False,only_in_file2
5411188139362.0,,,Alpro Plant Protein csokoládéízű szójaital hozzáadott kalciummal és vitaminokkal 750 ml,False,only_in_file2
5411188139720.0,,,Alpro Barista gluténmentes zabital hozzáadott vitaminokkal 750 ml,False,only_in_file2
5411188140368.0,,,"Alpro Plant Protein UHT vaníliaízű szójaital hozzáadott kalciummal, B2-, B12- és D2-vitaminnal 1 l",False,only_in_file2
5411188543381.0,,,Alpro szójaital hozzáadott kalciummal és vitaminokkal 1 l,False,only_in_file2
5412514444457.0,,,Poco Loco Tortilla barbecue ízesítésű kukoricachips 200 g,False,only_in_file2
5412514932909.0,,,Poco Loco taco fűszerkeverék 40 g,False,only_in_file2
5413121353408.0,,,The Belgian Caffe Latte kávé ízű desszert 200 g,False,only_in_file2
5413121355075.0,,,The Belgian étcsokoládé narancs darabkákkal 100 g,False,only_in_file2
5413121358694.0,,,The Belgian 85% Dark Chocolate 100 g,False,only_in_file2
5413121359059.0,,,The Belgian Trüffel narancs darabkákkal 200 g,False,only_in_file2
5413121360055.0,,,The Belgian Trüffel mogyorós 200 g,False,only_in_file2
5413121360611.0,,,The Belgian Seashells Original tengergyümölcse desszert 195 g,False,only_in_file2
5413121360673.0,,,The Belgian Seashells kávé ízű tengergyümölcse desszert 65 g,False,only_in_file2
5413121362486.0,,,The Belgian tejcsokoládé sós karamellával 100 g,False,only_in_file2
5413121368136.0,,,The Belgian Hearts salted brownie ízű csokoládé praliné 65 g,False,only_in_file2
5413121371907.0,,,The Belgian Seashells vaníliás tengergyümölcse desszert 65 g,False,only_in_file2
5449000193643.0,,,Jack Daniel's Tennessee Whiskey és Coca Cola alkoholos szénsavas ital édesítőszerekkel 5% 330 ml,False,only_in_file2
5601001014871.0,,,Nestlé Jó éjszakát 5 gyümölcsös tejpép 8 hónapos kortól 250 g,False,only_in_file2
