index,id,name,slug,parent_id,count,child_count,is_leaf,is_fetch_root,path,path_ids,permalink,image_url
0,4494,FRISSÁRU,frissaru,,1046,10,false,true,FRISSÁRU,4494,https://coopshop.hu/termekkategoria/frissaru/,
1,5416,CUKRÁSZSÜTEMÉNY,cukraszsutemeny,4494,14,0,true,false,FRISSÁRU > CUKRÁSZSÜTEMÉNY,4494|5416,https://coopshop.hu/termekkategoria/frissaru/cukraszsutemeny/,
2,4667,HENTESÁRU,hentesaru,4494,241,10,false,false,FRISSÁRU > HENTESÁRU,4494|4667,https://coopshop.hu/termekkategoria/frissaru/hentesaru/,
3,6493,FELVÁGOTT,felvagott,4667,27,0,true,false,FRISSÁRU > HENTESÁRU > FELVÁGOTT,4494|4667|6493,https://coopshop.hu/termekkategoria/frissaru/hentesaru/felvagott/,
4,6542,FÜSTÖLT ÁRU,fustolt-aru,4667,7,0,true,false,FRISSÁRU > HENTESÁRU > FÜSTÖLT ÁRU,4494|4667|6542,https://coopshop.hu/termekkategoria/frissaru/hentesaru/fustolt-aru/,
5,6497,"HURKA, SÜTŐKOLBÁSZ",hurka-sutokolbasz,4667,4,0,true,false,"FRISSÁRU > HENTESÁRU > HURKA, SÜTŐKOLBÁSZ",4494|4667|6497,https://coopshop.hu/termekkategoria/frissaru/hentesaru/hurka-sutokolbasz/,
6,6532,KOLBÁSZOK,kolbaszok,4667,26,0,true,false,FRISSÁRU > HENTESÁRU > KOLBÁSZOK,4494|4667|6532,https://coopshop.hu/termekkategoria/frissaru/hentesaru/kolbaszok/,
7,6498,MÁJASOK,majasok,4667,17,0,true,false,FRISSÁRU > HENTESÁRU > MÁJASOK,4494|4667|6498,https://coopshop.hu/termekkategoria/frissaru/hentesaru/majasok/,
8,6492,PÁRIZSI,parizsi,4667,17,0,true,false,FRISSÁRU > HENTESÁRU > PÁRIZSI,4494|4667|6492,https://coopshop.hu/termekkategoria/frissaru/hentesaru/parizsi/,
9,6494,SONKA,sonka,4667,29,0,true,false,FRISSÁRU > HENTESÁRU > SONKA,4494|4667|6494,https://coopshop.hu/termekkategoria/frissaru/hentesaru/sonka/,
10,6539,"SZALONNA, TÖPÖRTYŰ",szalonna-toportyu,4667,16,0,true,false,"FRISSÁRU > HENTESÁRU > SZALONNA, TÖPÖRTYŰ",4494|4667|6539,https://coopshop.hu/termekkategoria/frissaru/hentesaru/szalonna-toportyu/,
11,6495,SZALÁMI,szalami,4667,56,0,true,false,FRISSÁRU > HENTESÁRU > SZALÁMI,4494|4667|6495,https://coopshop.hu/termekkategoria/frissaru/hentesaru/szalami/,
12,6530,"VIRSLI, KRINOLIN, DEBRECENI",virsli-krinolin-debreceni,4667,41,0,true,false,"FRISSÁRU > HENTESÁRU > VIRSLI, KRINOLIN, DEBRECENI",4494|4667|6530,https://coopshop.hu/termekkategoria/frissaru/hentesaru/virsli-krinolin-debreceni/,
13,5431,HIDEGKONYHA,hidegkonyha,4494,12,0,true,false,FRISSÁRU > HIDEGKONYHA,4494|5431,https://coopshop.hu/termekkategoria/frissaru/hidegkonyha/,
14,6683,KONYHAKÉSZ TERMÉK,konyhakesz-termek,4494,14,0,true,false,FRISSÁRU > KONYHAKÉSZ TERMÉK,4494|6683,https://coopshop.hu/termekkategoria/frissaru/konyhakesz-termek/,
15,6682,MARGARIN,margarin,4494,67,0,true,false,FRISSÁRU > MARGARIN,4494|6682,https://coopshop.hu/termekkategoria/frissaru/margarin/,
16,5418,SŰTŐIPARI TERMÉK,sutoipari-termek,4494,41,4,false,false,FRISSÁRU > SŰTŐIPARI TERMÉK,4494|5418,https://coopshop.hu/termekkategoria/frissaru/sutoipari-termek/,
