barcode_norm,spar_names,prima_names
8584004305849,"Bombi kakaós bevonómasszába mártott, vegyes gyümölcsös-epres lekvárral töltött puszedli 50 g",Bombi puszedli szelet epres 50g
8584004305856,"Bombi kakaós bevonómasszába mártott, sárgabarackos lekvárral töltött puszedli 50 g",Bombi puszedli szelet sárgabarackos 50g
8584004305863,Bombi kakaós bevonómasszába mártott puszedli vegyes gyümölcsös-szilvás töltelékkel 50 g,Bombi puszedli szelet szilvás 50g
8585002472670,Maggi Ízvarázs ételízesítő 10 féle zöldséggel 75 g,Maggi ízvarázs 75g
8593838918125,Globus klasszikus ízű mustár 720 g,Globus mustár 720g
8593838918163,Globus klasszikus ízű mustár 440 g,Globus mustár 440g
8606017378945,Lay's Strong csípőspaprika- és limeízű burgonyachips 55 g,Lay's Strong burgonyachips csípőspaprika- és limeízű 55g
8606017379065,Lay's Max sajtos-újhagymás ízű burgonyachips 55 g,Lay's Maxx burgonyachips sajtos-újhagymás ízű 55g
8606017379126,Lay's Stix ketchupos ízű burgonyachips 60 g,Lay's Stix burgonyachips ketchupos ízű 60g
8719200198838,Rama 70% zsírtartalmú margarin 500 g,Rama margarin sütéshez és főzéshez (tégla) 500g
8719200198869,Rama 70% zsírtartalmú margarin 250 g,Rama sütőmargarin mini tégla 250g
8719200265097,Rama classic kenőmargarin 400 g,Rama margarin classic tégelyes 400g
8719200267503,Flora Original margarin 400 g,Flora margarin tégelyes 400g
8720181392450,Baba jázmin szappan 90 g,Baba jázmin szappan 90g
8720181392467,"Baba lanolin szappan, 90 g",Baba lanolin szappan 90g
8720182739100,Globus majonéz 735 g,Globus majonéz 735g
8720182817730,Hellmann's fokhagymás szósz 260 g,Hellmann's Garlic Sauce 250 ml
9000101598933,"Persil mosógél 33 mosás 1,485 l",Persil mosógél universal 33 mosás 1.485l
9000101599039,"Persil Color mosógél 33 mosás 1,485 l",Persil mosógél color 33 mosás 1.485l
9002490273170,Red Bull The White Edition energiaital kókusz és áfonya ízesítéssel 250 ml,Red Bull energiaital kókusz áfonya DRS 250ml
9002490273187,Red Bull magas koffeintartalmú szénsavas energiaital 250 ml,Red Bull energiaital DRS 250ml
9002490273217,Red Bull Sugarfree magas koffeintartalmú szénsavas energiaital édesítőszerekkel 250 ml,Red Bull energiaital cukormentes DRS 250ml
9005800374819,Atrix kézvédő kézkrém kamillával 100 ml,Atrix Intensive kézvédő krém kamillával 100 ml
9008700179102,Hey-Ho almaital 1 l,Hey-Ho almaital 25% 1l
90087011,Rauch Happy Day 100% almalé almalésűrítményből 1 l,Happy day gyümölcslé alma 100% 1l
90087493,Rauch Happy Day 100% multivitamin vegyes gyümölcslé sűrítményből 1 l,Happy day gyümölcslé multivitamin 100% 1l
90087547,Rauch Happy Day 100% paradicsomlé sűrítményből tengeri sóval 1 l,Happy Day paradicsomlé 100% 1l
