name,barcode_file1,internal_conflict_file1,barcode_file2,internal_conflict_file2,status
Cerbona Vegan piros gyümölcsös granola müzli 300 g,,,5998400311527.0,False,only_in_file2
Cerbona diós zabszelet 40 g,,,5998400312760.0,False,only_in_file2
Cerbona dupla csokis zabszelet 40 g,,,5998400312739.0,False,only_in_file2
Cerbona finomra őrölt zabpehelyliszt 500 g,,,5998400306745.0,False,only_in_file2
"Cerbona gluténmentes, laktózmentes étcsokoládés-marcipános zabszelet kakaós bevonó talppal 40 g",,,5998400309616.0,False,only_in_file2
Cerbona gyümölcsös müzliszelet 20 g,,,5998400312012.0,False,only_in_file2
Cerbona meggyes müzliszelet 20 g,,,5998400312029.0,False,only_in_file2
Cerbona meggyes-vaníliás zabszelet 40 g,,,5998400312791.0,False,only_in_file2
"Cerbona piros gyümölcsös müzli cukor hozzáadása nélkül, édesítőszerrel 200 g",,,5998400311862.0,False,only_in_file2
Ceres Slimmm szénhidrátcsökkentett toast teljes kiőrlésű búzaliszttel 300 g,,,5998703536085.0,False,only_in_file2
"Cetebe Immuntrio C-vitamin, D-vitamin és cink étrend-kiegészítő kapszula 60 db 39,2 g",,,4011548037027.0,False,only_in_file2
Cheetos földimogyorós kukoricasnack 85 g,,,5900259114563.0,False,only_in_file2
Cheetos ketchup ízesítésű kukoricasnack 43 g,,,5900259087126.0,False,only_in_file2
Cheetos pizzás ízesítésű kukoricasnack 43 g,,,5900259133274.0,False,only_in_file2
Chepke rántani való ömlesztett sajt 500 g,,,5999884923084.0,False,only_in_file2
Chewits Strawberry olvadó rágó 115 g,,,5060072652236.0,False,only_in_file2
Chia mag 250 g,,,5997951101755.0,False,only_in_file2
Chio Exxtra Intense jalapeño chili és sajt ízű burgonyachips 55 g,,,5996253001114.0,False,only_in_file2
Chio Intense chilli és lime ízű burgonyachips 55 g,,,5996253001121.0,False,only_in_file2
Chio Intense csípős fűszeres csirkehús ízű burgonyachips 55 g,,,5996253001152.0,False,only_in_file2
Chio Intense csípős paradicsom ízű burgonyachips 55 g,,,5996253001145.0,False,only_in_file2
Chio Stickletti burgonyás pálcika 160 g,,,5996253001640.0,False,only_in_file2
Chio Stickletti sajtos pálcika 160 g,,,5996253001657.0,False,only_in_file2
Chio barbecue ízű burgonyachips 60 g,,,5941445676373.0,False,only_in_file2
Chio sajtos ízű popcorn 80 g,,,8595606207462.0,False,only_in_file2
Chio sós ízű popcorn 80 g,,,8595606207448.0,False,only_in_file2
Chio sültcsirke ízű burgonyachips 60 g,,,5941445675635.0,False,only_in_file2
Chio vajas ízű popcorn 80 g,,,8595606207455.0,False,only_in_file2
"Chivas Regal 12YO skót whiskey 40% 0,5 l",,,5998829902214.0,False,only_in_file2
Chivers Fruity Orange extra gyümölcsös narancsmarmelád 340 g,,,5098732012663.0,False,only_in_file2
"Chocapic csokiízű, ropogós gabonapehely vitaminokkal és ásványi anyagokkal 645 g",,,5900020027481.0,False,only_in_file2
"Chupa Chups XXL nyalókák válogatott ízekben, rágógumi töltelékkel 25 x 29 g (725 g)",,,84196859.0,False,only_in_file2
"Cinzano Prosecco D.O.C. száraz fehér pezsgő 11% 0,75 l",,,8000020016922.0,False,only_in_file2
Citromfű  HERBÁRIA 50g,,,5997005313691.0,False,only_in_file2
Classic gyorsfagyasztott erdei mix 500 g,,,5999548675175.0,False,only_in_file2
Coca-Cola Zero Cherry colaízű energiamentes szénsavas üdítőital cseresznye ízesítéssel  330 ml,,,5993330000251.0,False,only_in_file2
Collagen Vibe mangó és maracuja ízesítésű szénsavas üdítőital kollagénnel édesítőszerekkel 330 ml,,,5999860634898.0,False,only_in_file2
Cornexi citrom-lime töltött zabrudi 30 g,,,5998038316178.0,False,only_in_file2
Cornexi sós-karamellás instant zabkása proteinnel 60 g,,,5998038313160.0,False,only_in_file2
Corny Big müzliszelet banánnal tejcsokoládéba mártva 50 g,,,4011800567415.0,False,only_in_file2
Corny Big müzliszelet csokoládéval 50 g,,,4011800567316.0,False,only_in_file2
Costa d'Oro Squeeze szőlőmagolaj 500 ml,,,8007270701516.0,False,only_in_file2
Crivellin mini gnocchi burgonyagombóc 500 g,,,8002066001016.0,False,only_in_file2
Csabahús csabai parasztkolbász 400 g,,,5998339700454.0,False,only_in_file2
Csabai lángolt kolbász 300 g,,,5998339700423.0,False,only_in_file2
Csoda Konyha arrabbiata mártás alappor 42 g,,,5997359139091.0,False,only_in_file2
Csoda Konyha lasagne mártás alappor 48 g,,,5997359139084.0,False,only_in_file2
Csoda Konyha pörkölt alappor 35 g,,,5997359137301.0,False,only_in_file2
Csoda Konyha vadasmártás alappor 42 g,,,5997359137295.0,False,only_in_file2
