barcode_norm,product_name_old,product_name_new,unit_price_old,unit_price_new,price_diff,price_pct,categories_old,categories_new,available_old,available_new,image_urls_old,image_urls_new
4023600016352,Dr. Oetker magas fehérjetartalmú grízpuding édesítőszerekkel 200 g,Dr. Oetker High Protein Puding Gríz 200 g,599.0,649.0,50.0,8.347245409015025,pudingpor-294,pudingpor-163,True,True,https://imageproxy.wolt.com/assets/689b7172f18c6aaa8030916e,https://imageproxy.wolt.com/assets/6a1973b094912ed1c3c06497
4046234567076,"Tchibo Espresso Milano őrölt, pörkölt kávé 250 g","Tchibo Espresso Milano őrölt, pörkölt kávé, 250 g",2699.0,2414.0,-285.0,-10.559466469062615,orolt-kave-282,orolt-kave-136,True,True,https://imageproxy.wolt.com/assets/68dbce5ae4991e9d3ee08af1;https://imageproxy.wolt.com/assets/68dbce5ae4991e9d3ee08af2,https://imageproxy.wolt.com/assets/69342264c5cb6de83d0d562d;https://imageproxy.wolt.com/assets/69342264c5cb6de83d0d562c
4046234567137,"Tchibo Espresso Sicilia őrölt, pörkölt kávé 250 g","Tchibo Espresso Sicilia őrölt, pörkölt kávé, 250 g",2699.0,2414.0,-285.0,-10.559466469062615,orolt-kave-282,orolt-kave-136,True,True,https://imageproxy.wolt.com/assets/689b6fdf9bbcfa1dc39bac6e;https://imageproxy.wolt.com/assets/689b6fe09bbcfa1dc39bac72,https://imageproxy.wolt.com/assets/6934221cc5cb6de83d0d55c9;https://imageproxy.wolt.com/assets/6934221cc5cb6de83d0d55c8
4061445008293,"Tchibo Espresso Sicilia szemes, pörkölt kávé 1 kg","Tchibo Espresso Sicilia szemes, pörkölt kávé, 1000 g",9999.0,8924.0,-1075.0,-10.75107510751075,szemes-kave-284,szemes-kave-138,True,True,https://imageproxy.wolt.com/assets/689b6fe39bbcfa1dc39bac79;https://imageproxy.wolt.com/assets/689b6fe39bbcfa1dc39bac7c,https://imageproxy.wolt.com/assets/69342265c5cb6de83d0d5632;https://imageproxy.wolt.com/assets/69342265c5cb6de83d0d5633
4061445344957,"Tchibo Exclusive Good Mood Blend pörkölt, szemes kávé 1000 g","Tchibo Exclusive Good Mood Blend szemes, pörkölt kávé 1000 g",8999.0,8189.0,-810.0,-9.001000111123458,szemes-kave-284,szemes-kave-138,True,True,https://imageproxy.wolt.com/assets/689bb2ea87a8f04a4a7dd872;https://imageproxy.wolt.com/assets/689bb2ea87a8f04a4a7dd876,https://imageproxy.wolt.com/assets/69493a2ed1c7b7ac494fb5a5;https://imageproxy.wolt.com/assets/69493a2dd1c7b7ac494fb5a4
4061445355328,Tchibo Cafissimo Espresso Elegant Aroma kávékapszula 10 db 70 g,"Tchibo Cafissimo Espresso Elegant Aroma kávékapszula, 70 g, 10 db",1899.0,1944.0,45.0,2.3696682464454977,kapszulas-kave-283,kapszulas-kave-137,True,True,https://imageproxy.wolt.com/assets/689bb2ce87a8f04a4a7dd810;https://imageproxy.wolt.com/assets/689bb2ce87a8f04a4a7dd815,https://imageproxy.wolt.com/assets/689b6bfa87a8f04a4a7d76ca;https://imageproxy.wolt.com/assets/689b6bfb87a8f04a4a7d76cf
4061445355366,Tchibo Cafissimo Espresso Intense Aroma kávékapszula 10 db 75 g,"Tchibo Cafissimo Espresso Intense Aroma kávékapszula, 75 g, 10 db",1899.0,1944.0,45.0,2.3696682464454977,kapszulas-kave-283,kapszulas-kave-137,True,True,https://imageproxy.wolt.com/assets/689bb2ce87a8f04a4a7dd814;https://imageproxy.wolt.com/assets/689bb2cf87a8f04a4a7dd817,https://imageproxy.wolt.com/assets/67f504375ebdee482c19d339;https://imageproxy.wolt.com/assets/67f504395ebdee482c19d33e
4061445355526,Tchibo Cafissimo Barista Edition Espresso Brasil kávékapszula 10 db 80 g,"Tchibo Cafissimo Barista Espresso Brasil kávékapszula, 80 g, 10 db",1899.0,1944.0,45.0,2.3696682464454977,kapszulas-kave-283,kapszulas-kave-137,True,True,https://imageproxy.wolt.com/assets/689bb2d087a8f04a4a7dd81d;https://imageproxy.wolt.com/assets/689bb2d187a8f04a4a7dd823,https://imageproxy.wolt.com/assets/689b750c87a8f04a4a7d7e1f;https://imageproxy.wolt.com/assets/689b750d87a8f04a4a7d7e21
4061445355588,Tchibo Cafissimo Espresso Flavored Edition Caramel kávékapszula 10 db 75 g,"Tchibo Cafissimo Espresso Flavored Edition Caramel kávékapszula 75 g, 10 db",1899.0,1944.0,45.0,2.3696682464454977,kapszulas-kave-283,kapszulas-kave-137,True,True,https://imageproxy.wolt.com/assets/689bb2cc9bbcfa1dc39beac7;https://imageproxy.wolt.com/assets/689bb2cd9bbcfa1dc39beacb,https://imageproxy.wolt.com/assets/69342213c5cb6de83d0d55ab;https://imageproxy.wolt.com/assets/69342213c5cb6de83d0d55ac
4751007732833,Kaija lazacfilé paradicsomszószban 170 g,Kaija lazac darabok paradicsomszószban 170 g,1299.0,1404.0,105.0,8.083140877598153,halkonzerv-huskonzerv-melegszendvicskrem-152,halkonzerv-huskonzerv-melegszendvicskrem-212,True,True,https://imageproxy.wolt.com/assets/689b6bfe87a8f04a4a7d76dc,https://imageproxy.wolt.com/assets/68f77d0f991b63c9b819109b;https://imageproxy.wolt.com/assets/68f77d0c991b63c9b819109a
4751007732864,Kaija lazacfilé angol mustárszószban 170 g,Kaija lazac darabok mustáros szószban 170 g,1299.0,1404.0,105.0,8.083140877598153,halkonzerv-huskonzerv-melegszendvicskrem-152,halkonzerv-huskonzerv-melegszendvicskrem-212,True,True,https://imageproxy.wolt.com/assets/689b6c0187a8f04a4a7d76e3,https://imageproxy.wolt.com/assets/68f77d16991b63c9b819109f;https://imageproxy.wolt.com/assets/68f77d15991b63c9b819109e
4823077632075,Tibi Bubble tejcsokoládé 80 g,Tibi Aerated tejcsokoládé 80 g,599.0,524.0,-75.0,-12.520868113522537,tablas-csokoladek-106,tablas-csokoladek-176,True,True,https://imageproxy.wolt.com/assets/689b74e787a8f04a4a7d7ded;https://imageproxy.wolt.com/assets/689b74e887a8f04a4a7d7df1,https://imageproxy.wolt.com/assets/69dd83b5ddef9b56faf8ba82;https://imageproxy.wolt.com/assets/69dd83b3ddef9b56faf8ba81
4823077640094,Tibi étcsokoládé kakaókrémmel 90 g,Tibi étcsokoládé kakaókémmel 90 g,569.0,524.0,-45.0,-7.9086115992970125,tablas-csokoladek-106,tablas-csokoladek-176,True,True,https://imageproxy.wolt.com/assets/689b715a87a8f04a4a7d78c8;https://imageproxy.wolt.com/assets/689b715b87a8f04a4a7d78cd,https://imageproxy.wolt.com/assets/6a1619e13ad065b846d8295d;https://imageproxy.wolt.com/assets/6a1619e13ad065b846d8295e
4823097403587,Schedro provanszi light majonéz 400 g,"Schedro majonéz 30%, 400 g",849.0,975.0,126.0,14.840989399293287,ketchup-mustar-majonez-torma-163,ketchup-mustar-majonez-torma-224,True,True,https://imageproxy.wolt.com/assets/678e0e55daf01e7f1ad1af3e,https://imageproxy.wolt.com/assets/688b9ad3a3eb62eeb95c25c1
5011013100156,"Baileys eredeti ír krémlikőr 17% 0,7 l","Baileys eredeti ír krémlikőr 17%, 700 ml",8659.0,9094.0,435.0,5.023674789236632,likor-172,likor-240,True,True,https://imageproxy.wolt.com/assets/68a2ee2bc36a14b17030d425,https://imageproxy.wolt.com/assets/68a2ee2bc36a14b17030d425
5011013100170,"Baileys eredeti ír krémlikőr 17% 0,5 l","Baileys eredeti ír krémlikőr 17%, 500 ml",6999.0,7349.0,350.0,5.000714387769682,likor-172,likor-240,True,True,https://imageproxy.wolt.com/assets/68a2ee2bc36a14b17030d426,https://imageproxy.wolt.com/assets/68a2ee2bc36a14b17030d426
5011026105223,"Carolans ír krémlikőr 17% 0,7 l",Carolans ír krémlikőr 17% 70 cl,8099.0,8924.0,825.0,10.186442770712434,likor-172,likor-240,True,True,https://imageproxy.wolt.com/assets/6818b8cb82f00f6d6fdb725d,https://imageproxy.wolt.com/assets/69d6355af17312ee6578edf2
5014271310428,St. Dalfour fekete cseresznye 284 g,"St. Dalfour fekete cseresznye, 284 g",1999.0,2119.0,120.0,6.003001500750376,lekvar-79,lekvar-147,True,True,https://imageproxy.wolt.com/assets/689b70389bbcfa1dc39bada6,https://imageproxy.wolt.com/assets/689b70389bbcfa1dc39bada6
5014271400426,St. Dalfour eper 284 g,"St. Dalfour eper, 284 g",1999.0,2119.0,120.0,6.003001500750376,lekvar-79,lekvar-147,True,True,https://imageproxy.wolt.com/assets/689b70419bbcfa1dc39badc2,https://imageproxy.wolt.com/assets/689b70419bbcfa1dc39badc2
5411188134985,"Alpro Shhh... this is not Milk cukormentes zabital hozzáadott kalciummal és D2-vitaminnal 3,5% 1 l","Alpro Shhh... this is not Milk cukormentes zabital hozzáadott kalciummal és D2-vitaminnal 3.5%, 1000 ml",1149.0,1354.0,205.0,17.84160139251523,novenyi-termekek-58,cukormentes-78,True,True,https://imageproxy.wolt.com/assets/66793ecdad16d3049c1bf084,https://imageproxy.wolt.com/assets/689b776e87a8f04a4a7d825c
5411188136361,"Alpro fermentált szójakészítmény eperrel, cseresznyével, datolyával 135 g","Alpro zsírszegény fermentált szójakészítmény datolyával, cseresznyével, eperrel 135 g",549.0,660.0,111.0,20.21857923497268,novenyi-termekek-58,novenyi-termekek-110,True,False,https://imageproxy.wolt.com/assets/667948395bc89c3fb6bf3de6,https://imageproxy.wolt.com/assets/667948395bc89c3fb6bf3de6
5740900815308,Lurpak enyhén sózott csökkentett zsírtartalmú kenhető keverék készítmény 200 g,"Lurpak Enyhén sózott, csökkentett zsírtartalmú kenhető keverék készítmény 200 g",1849.0,1944.0,95.0,5.137912385073013,vaj-margarin-49,vaj-margarin-100,True,True,https://imageproxy.wolt.com/assets/689b7a229bbcfa1dc39bb4c2,https://imageproxy.wolt.com/assets/698f198f960776714feee155;https://imageproxy.wolt.com/assets/698f198f960776714feee156
5900020013668,"Nestlé Nesquik kakaós ízű, ropogós gabonapehely vitaminokkal és ásványi anyagokkal 375 g","Nestlé Nesquik kakaós ízű, ropogós gabonapehely vitaminokkal és ásványi anyagokkal, 375 g",1699.0,1909.0,210.0,12.360211889346674,gabonapehely-71,gabonapehely-132,True,True,https://imageproxy.wolt.com/assets/689bb0b587a8f04a4a7dd135;https://imageproxy.wolt.com/assets/689bb0b587a8f04a4a7dd139,https://imageproxy.wolt.com/assets/69302de1fd831a492a8a7e1e;https://imageproxy.wolt.com/assets/69302de1fd831a492a8a7e1d
5900020013927,"Nestlé Chocapic csokiízű, ropogós gabonapehely vitaminokkal és ásványi anyagokkal 375 g","Chocapic csokiízű, ropogós gabonapehely vitaminokkal és ásványi anyagokkal 375 g",1699.0,1909.0,210.0,12.360211889346674,gabonapehely-71,gabonapehely-132,True,True,https://imageproxy.wolt.com/assets/689b7a4587a8f04a4a7d8be8;https://imageproxy.wolt.com/assets/689b7a4787a8f04a4a7d8bed,https://imageproxy.wolt.com/assets/69302de6fd831a492a8a7e27;https://imageproxy.wolt.com/assets/69302de6fd831a492a8a7e28
5900020016065,"Nestlé Nesquik kakaós ízű, ropogós gabonapehely vitaminokkal és ásványi anyagokkal 225 g","Nesquik kakaós ízű, ropogós gabonapehely vitaminokkal és ásványi anyagokkal 225 g",1199.0,1379.0,180.0,15.012510425354462,gabonapehely-71,gabonapehely-132,True,True,https://imageproxy.wolt.com/assets/689b7a4587a8f04a4a7d8be7;https://imageproxy.wolt.com/assets/689b7a4787a8f04a4a7d8beb,https://imageproxy.wolt.com/assets/69fb75959c4fe0d3ac5037a2;https://imageproxy.wolt.com/assets/69fb75959c4fe0d3ac5037a1
5900020019530,Nestlé Lion karamellás és csokoládés ropogós gabonapehely vitaminokkal és ásványi anyagokkal 400 g,Lion karamellás és csokoládés ropogós gabonapehely vitaminokkal és ásványi anyagokkal 400 g,1699.0,1909.0,210.0,12.360211889346674,gabonapehely-71,gabonapehely-132,True,True,https://imageproxy.wolt.com/assets/689b7a4c9bbcfa1dc39bb505;https://imageproxy.wolt.com/assets/689b7a4f9bbcfa1dc39bb50a,https://imageproxy.wolt.com/assets/6a13cb3fa6cb6dd4b4b32ae3;https://imageproxy.wolt.com/assets/6a13cb3fa6cb6dd4b4b32ae2
