barcode,product_name,unit_price,categories,image_urls
8720181032912,Baba kamilla folyékony krémszappan utántöltő 500 ml,1049.0,szappanok-307,https://imageproxy.wolt.com/assets/69e17b33609eafedc63bc761
8720181047749,AXE Dark Temptation dezodor 250 ml,2204.0,spray-dezodor-289,https://imageproxy.wolt.com/assets/689bae6087a8f04a4a7dc9b0
8720181109218,Baba folyékony krémszappan utántöltő antibakteriális összetevővel 500 ml,1049.0,szappanok-307,https://imageproxy.wolt.com/assets/69e17b41609eafedc63bc764
8720181204111,"AXE Epic Fresh 3 in 1 tusfürdő testre, arcra, hajra 400 ml",1784.0,ferfi-tusfurdo-309,https://imageproxy.wolt.com/assets/69e17a10609eafedc63bc683
8720181209550,Baba kényeztető tusfürdő málna és rózsafa illattal 400 ml,1259.0,noi-csaladi-tusfurdo-308,https://imageproxy.wolt.com/assets/69e17b21609eafedc63bc73b
8720181209567,Baba málna és rózsafa illat kényeztető tusfürdő 750 ml,1994.0,noi-csaladi-tusfurdo-308,https://imageproxy.wolt.com/assets/69e17b29609eafedc63bc74d
8720181227004,"Baba folyékony szappan utántöltő antibakteriális összetevővel, teafaolaj 750 ml",1259.0,szappanok-307,https://imageproxy.wolt.com/assets/69e17845609eafedc63bc520
8720181284946,Dove Men+Care Advanced Clean Comfort izzadásgátló 200 ml,2309.0,spray-dezodor-289,https://imageproxy.wolt.com/assets/69e17a58609eafedc63bc6b3
8720181291715,Dove Advanced Care Original női izzadásgátló dezodor 150 ml,1944.0,spray-dezodor-289,https://imageproxy.wolt.com/assets/695baef05cd662af9f5c4334
8720181291852,Dove Advanced Care Powder Soft izzadásgátló dezodor 150 ml,1944.0,spray-dezodor-289,https://imageproxy.wolt.com/assets/69566922d6d91a5c046c063a
8720181313448,"Dove Men+Care Hydrating Clean Comfort tusfürdő testre, arcra, hajra 400 ml",1889.0,ferfi-tusfurdo-309,https://imageproxy.wolt.com/assets/69ca58b422b147f1899f29e1
8720181334719,Rexona Bright Bouquet izzadásgátló 200 ml,1574.0,spray-dezodor-289,https://imageproxy.wolt.com/assets/69e17a61609eafedc63bc6bd
8720181345913,"Domestos Power Fresh Lime Fresh WC tisztító gél, 700 ml",1049.0,furdoszobai-tisztitoszer-275,https://imageproxy.wolt.com/assets/69e1785d609eafedc63bc53f
