product_name_old,product_name_new,barcode_norm_old,barcode_norm_new,barcode_status,unit_price_old,unit_price_new,price_diff,categories_old,categories_new
"Staropramen Dark minőségi barna sör 4,4% 0,5 l","Staropramen Dark minőségi barna sör 4,4% 0,5 l",8593868002283,5998817530986,different,474.0,554.0,80.0,barna-sor-232,barna-sor-235
Sóland Himalája étkezési kristálysó 1 kg,Sóland Himalája étkezési kristálysó 1 kg,5997973113613,5997973108725,different,1090.0,1169.0,79.0,etelizesito-leveskocka-102,so-fuszerso-166
Tchibo Cafissimo Caffè Crema Rich Aroma kávékapszula 30 db 228 g,Tchibo Cafissimo Caffè Crema Rich Aroma kávékapszula 30 db 228 g,4046234921076,4061445355267,different,5299.0,5459.0,160.0,kapszulas-kave-283,kapszulas-kave-137
Tchibo Gold Selection instant kávé 200 g,Tchibo Gold Selection instant kávé 200 g,4061445149750,4046234767650,different,3999.0,4409.0,410.0,instant-kave-285,instant-kave-139
Thummerer Egri Bikavér classicus száraz vörösbor 14% 750 ml,Thummerer Egri Bikavér Classicus száraz vörösbor 14% 750 ml,5998836538512,5998836500144,different,3399.0,3974.0,575.0,voros-bor-191,voros-bor-250
"Thummerer Egri Cabernet Franc-Merlot classicus száraz vörösbor 14,5% 750 ml","Thummerer Egri Cabernet Franc-Merlot classicus száraz vörösbor 14,5% 750 ml",5998836538864,5998836500069,different,2499.0,2914.0,415.0,voros-bor-191,voros-bor-250
Univer mustár 440 g,Univer mustár 440 g,5997010305186,5997010315635,different,999.0,1199.0,200.0,ketchup-mustar-majonez-torma-163,szoszok-ontetek-6
VeganChef füst és cheddar ízesítésű vegán tömb 200 g,VeganChef füst és cheddar ízesítésű vegán tömb 200 g,5999559311253,5999559315954,different,1059.0,1260.0,201.0,specialis-sajtok-41,vegan-77
VeganChef körözött ízesítésű vegán szendvics krém 150 g,VeganChef körözött ízesítésű vegán szendvics krém 150 g,5999559310119,5999559316173,different,899.0,1239.0,340.0,kenheto-sajtkeszitmenyek-39,vegan-77
Vitajó magvas cipó 500 g,Vitajó magvas cipó 500 g,5998703526383,5999086514981,different,749.0,809.0,60.0,kenyerek-27,kenyerek-80
