index,name,path,facet_code,facet,parent_path,depth,product_count
505,Fogápoló jutalomfalatok,Kisállat|Kutyaeledelek & Kiegészítők|Jutalomfalatok|Fogápoló jutalomfalatok,S2lzJUMzJUExbGxhdCU3Q0t1dHlhZWxlZGVsZWslMjAlMjYlMjBLaWVnJUMzJUE5c3olQzMlQUR0JUM1JTkxayU3Q0p1dGFsb21mYWxhdG9rJTdDRm9nJUMzJUExcG9sJUMzJUIzJTIwanV0YWxvbWZhbGF0b2s=,b;S2lzJUMzJUExbGxhdCU3Q0t1dHlhZWxlZGVsZWslMjAlMjYlMjBLaWVnJUMzJUE5c3olQzMlQUR0JUM1JTkxayU3Q0p1dGFsb21mYWxhdG9rJTdDRm9nJUMzJUExcG9sJUMzJUIzJTIwanV0YWxvbWZhbGF0b2s=,Kisállat|Kutyaeledelek & Kiegészítők|Jutalomfalatok,3,29
515,Jutalomfalatok & rágcsák,Kisállat|Kutyaeledelek & Kiegészítők|Jutalomfalatok|Jutalomfalatok & rágcsák,S2lzJUMzJUExbGxhdCU3Q0t1dHlhZWxlZGVsZWslMjAlMjYlMjBLaWVnJUMzJUE5c3olQzMlQUR0JUM1JTkxayU3Q0p1dGFsb21mYWxhdG9rJTdDSnV0YWxvbWZhbGF0b2slMjAlMjYlMjByJUMzJUExZ2NzJUMzJUExaw==,b;S2lzJUMzJUExbGxhdCU3Q0t1dHlhZWxlZGVsZWslMjAlMjYlMjBLaWVnJUMzJUE5c3olQzMlQUR0JUM1JTkxayU3Q0p1dGFsb21mYWxhdG9rJTdDSnV0YWxvbWZhbGF0b2slMjAlMjYlMjByJUMzJUExZ2NzJUMzJUExaw==,Kisállat|Kutyaeledelek & Kiegészítők|Jutalomfalatok,3,23
1566,Jutalomfalatok természetes összetevőkkel,Kisállat|Kutyaeledelek & Kiegészítők|Jutalomfalatok|Jutalomfalatok természetes összetevőkkel,S2lzJUMzJUExbGxhdCU3Q0t1dHlhZWxlZGVsZWslMjAlMjYlMjBLaWVnJUMzJUE5c3olQzMlQUR0JUM1JTkxayU3Q0p1dGFsb21mYWxhdG9rJTdDSnV0YWxvbWZhbGF0b2slMjB0ZXJtJUMzJUE5c3pldGVzJTIwJUMzJUI2c3N6ZXRldiVDNSU5MWtrZWw=,b;S2lzJUMzJUExbGxhdCU3Q0t1dHlhZWxlZGVsZWslMjAlMjYlMjBLaWVnJUMzJUE5c3olQzMlQUR0JUM1JTkxayU3Q0p1dGFsb21mYWxhdG9rJTdDSnV0YWxvbWZhbGF0b2slMjB0ZXJtJUMzJUE5c3pldGVzJTIwJUMzJUI2c3N6ZXRldiVDNSU5MWtrZWw=,Kisállat|Kutyaeledelek & Kiegészítők|Jutalomfalatok,3,9
444,Kekszek,Kisállat|Kutyaeledelek & Kiegészítők|Jutalomfalatok|Kekszek,S2lzJUMzJUExbGxhdCU3Q0t1dHlhZWxlZGVsZWslMjAlMjYlMjBLaWVnJUMzJUE5c3olQzMlQUR0JUM1JTkxayU3Q0p1dGFsb21mYWxhdG9rJTdDS2Vrc3plaw==,b;S2lzJUMzJUExbGxhdCU3Q0t1dHlhZWxlZGVsZWslMjAlMjYlMjBLaWVnJUMzJUE5c3olQzMlQUR0JUM1JTkxayU3Q0p1dGFsb21mYWxhdG9rJTdDS2Vrc3plaw==,Kisállat|Kutyaeledelek & Kiegészítők|Jutalomfalatok,3,5
1591,Fekhelyek,Kisállat|Kutyaeledelek & Kiegészítők|Játékok és kiegészítők|Fekhelyek,S2lzJUMzJUExbGxhdCU3Q0t1dHlhZWxlZGVsZWslMjAlMjYlMjBLaWVnJUMzJUE5c3olQzMlQUR0JUM1JTkxayU3Q0olQzMlQTF0JUMzJUE5a29rJTIwJUMzJUE5cyUyMGtpZWclQzMlQTlzeiVDMyVBRHQlQzUlOTFrJTdDRmVraGVseWVr,b;S2lzJUMzJUExbGxhdCU3Q0t1dHlhZWxlZGVsZWslMjAlMjYlMjBLaWVnJUMzJUE5c3olQzMlQUR0JUM1JTkxayU3Q0olQzMlQTF0JUMzJUE5a29rJTIwJUMzJUE5cyUyMGtpZWclQzMlQTlzeiVDMyVBRHQlQzUlOTFrJTdDRmVraGVseWVr,Kisállat|Kutyaeledelek & Kiegészítők|Játékok és kiegészítők,3,4
1592,"Hámok, nyakörvek és utazási kiegészítők","Kisállat|Kutyaeledelek & Kiegészítők|Játékok és kiegészítők|Hámok, nyakörvek és utazási kiegészítők",S2lzJUMzJUExbGxhdCU3Q0t1dHlhZWxlZGVsZWslMjAlMjYlMjBLaWVnJUMzJUE5c3olQzMlQUR0JUM1JTkxayU3Q0olQzMlQTF0JUMzJUE5a29rJTIwJUMzJUE5cyUyMGtpZWclQzMlQTlzeiVDMyVBRHQlQzUlOTFrJTdDSCVDMyVBMW1vaywlMjBueWFrJUMzJUI2cnZlayUyMCVDMyVBOXMlMjB1dGF6JUMzJUExc2klMjBraWVnJUMzJUE5c3olQzMlQUR0JUM1JTkxaw==,b;S2lzJUMzJUExbGxhdCU3Q0t1dHlhZWxlZGVsZWslMjAlMjYlMjBLaWVnJUMzJUE5c3olQzMlQUR0JUM1JTkxayU3Q0olQzMlQTF0JUMzJUE5a29rJTIwJUMzJUE5cyUyMGtpZWclQzMlQTlzeiVDMyVBRHQlQzUlOTFrJTdDSCVDMyVBMW1vaywlMjBueWFrJUMzJUI2cnZlayUyMCVDMyVBOXMlMjB1dGF6JUMzJUExc2klMjBraWVnJUMzJUE5c3olQzMlQUR0JUM1JTkxaw==,Kisállat|Kutyaeledelek & Kiegészítők|Játékok és kiegészítők,3,6
1589,Játékok,Kisállat|Kutyaeledelek & Kiegészítők|Játékok és kiegészítők|Játékok,S2lzJUMzJUExbGxhdCU3Q0t1dHlhZWxlZGVsZWslMjAlMjYlMjBLaWVnJUMzJUE5c3olQzMlQUR0JUM1JTkxayU3Q0olQzMlQTF0JUMzJUE5a29rJTIwJUMzJUE5cyUyMGtpZWclQzMlQTlzeiVDMyVBRHQlQzUlOTFrJTdDSiVDMyVBMXQlQzMlQTlrb2s=,b;S2lzJUMzJUExbGxhdCU3Q0t1dHlhZWxlZGVsZWslMjAlMjYlMjBLaWVnJUMzJUE5c3olQzMlQUR0JUM1JTkxayU3Q0olQzMlQTF0JUMzJUE5a29rJTIwJUMzJUE5cyUyMGtpZWclQzMlQTlzeiVDMyVBRHQlQzUlOTFrJTdDSiVDMyVBMXQlQzMlQTlrb2s=,Kisállat|Kutyaeledelek & Kiegészítők|Játékok és kiegészítők,3,22
1573,Nedves eledel,Kisállat|Kutyaeledelek & Kiegészítők|Kölyök kutya (0-12 hónap)|Nedves eledel,S2lzJUMzJUExbGxhdCU3Q0t1dHlhZWxlZGVsZWslMjAlMjYlMjBLaWVnJUMzJUE5c3olQzMlQUR0JUM1JTkxayU3Q0slQzMlQjZseSVDMyVCNmslMjBrdXR5YSUyMCUyODAtMTIlMjBoJUMzJUIzbmFwJTI5JTdDTmVkdmVzJTIwZWxlZGVs,b;S2lzJUMzJUExbGxhdCU3Q0t1dHlhZWxlZGVsZWslMjAlMjYlMjBLaWVnJUMzJUE5c3olQzMlQUR0JUM1JTkxayU3Q0slQzMlQjZseSVDMyVCNmslMjBrdXR5YSUyMCUyODAtMTIlMjBoJUMzJUIzbmFwJTI5JTdDTmVkdmVzJTIwZWxlZGVs,Kisállat|Kutyaeledelek & Kiegészítők|Kölyök kutya (0-12 hónap),3,8
1574,Száraz eledel,Kisállat|Kutyaeledelek & Kiegészítők|Kölyök kutya (0-12 hónap)|Száraz eledel,S2lzJUMzJUExbGxhdCU3Q0t1dHlhZWxlZGVsZWslMjAlMjYlMjBLaWVnJUMzJUE5c3olQzMlQUR0JUM1JTkxayU3Q0slQzMlQjZseSVDMyVCNmslMjBrdXR5YSUyMCUyODAtMTIlMjBoJUMzJUIzbmFwJTI5JTdDU3olQzMlQTFyYXolMjBlbGVkZWw=,b;S2lzJUMzJUExbGxhdCU3Q0t1dHlhZWxlZGVsZWslMjAlMjYlMjBLaWVnJUMzJUE5c3olQzMlQUR0JUM1JTkxayU3Q0slQzMlQjZseSVDMyVCNmslMjBrdXR5YSUyMCUyODAtMTIlMjBoJUMzJUIzbmFwJTI5JTdDU3olQzMlQTFyYXolMjBlbGVkZWw=,Kisállat|Kutyaeledelek & Kiegészítők|Kölyök kutya (0-12 hónap),3,11
1565,Alutasakos eledelek,Kisállat|Kutyaeledelek & Kiegészítők|Nedves eledelek|Alutasakos eledelek,S2lzJUMzJUExbGxhdCU3Q0t1dHlhZWxlZGVsZWslMjAlMjYlMjBLaWVnJUMzJUE5c3olQzMlQUR0JUM1JTkxayU3Q05lZHZlcyUyMGVsZWRlbGVrJTdDQWx1dGFzYWtvcyUyMGVsZWRlbGVr,b;S2lzJUMzJUExbGxhdCU3Q0t1dHlhZWxlZGVsZWslMjAlMjYlMjBLaWVnJUMzJUE5c3olQzMlQUR0JUM1JTkxayU3Q05lZHZlcyUyMGVsZWRlbGVrJTdDQWx1dGFzYWtvcyUyMGVsZWRlbGVr,Kisállat|Kutyaeledelek & Kiegészítők|Nedves eledelek,3,28
