key,base_unit,base_price_diff_b_minus_a,base_price_pct_b_minus_a,Spar_product_name,Tesco_product_name,Spar_barcode,Tesco_barcode,Spar_unit_price,Tesco_unit_price,Spar_unit_type,Tesco_unit_type,Spar_unit_step,Tesco_unit_step,Spar_base_price,Tesco_base_price,Spar_categories,Tesco_categories
3083680026154|bonduelle bébirépa 400 g,kg,-1309.198,-42.621,Bonduelle bébirépa 400 g,Bonduelle bébirépa 400 g,3083680026154,03083680026154,814.0,705.0,g,g,265.0,400.0,3071.698,1762.5,zoldsegkonzerv-210,"Alapvető élelmiszerek|Konzervek, olívabogyók|Zöldségkonzervek|Egyéb zöldségek"
3083680053303|bonduelle gold szuperédes morzsolt csemegekukorica 340 g,kg,-132.353,-4.767,Bonduelle Gold szuperédes morzsolt csemegekukorica 340 g,Bonduelle Gold szuperédes morzsolt csemegekukorica 340 g,3083680053303,03083680053303,944.0,899.0,g,g,340.0,340.0,2776.471,2644.118,zoldsegkonzerv-210,"Alapvető élelmiszerek|Konzervek, olívabogyók|Zöldségkonzervek|Kukorica"
3083680483407|bonduelle bon menu paradicsom fehérbab paradicsommártásban 430 g,kg,-520.93,-23.729,Bonduelle Bon Menu Paradicsom fehérbab paradicsommártásban 430 g,Bonduelle Bon Menu Paradicsom fehérbab paradicsommártásban 430 g,3083680483407,03083680483407,944.0,720.0,g,g,430.0,430.0,2195.349,1674.419,zoldsegkonzerv-210,"Alapvető élelmiszerek|Konzervek, olívabogyók|Zöldségkonzervek|Bab"
3083680498012|bonduelle ecetes csemegeuborka 5-8 cm 680 g,kg,-3250.0,-65.0,Bonduelle ecetes csemegeuborka 5-8 cm 680 g,Bonduelle ecetes csemegeuborka 5-8 cm 680 g,3083680498012,03083680498012,1850.0,1190.0,g,g,370.0,680.0,5000.0,1750.0,savanyusag-222,Zöldség és gyümölcs|Zöldségek|Savanyúság|Uborka
3083680510233|bonduelle vörösbab 800 g,kg,-1651.75,-58.201,Bonduelle vörösbab 800 g,Bonduelle vörösbab 800 g,3083680510233,03083680510233,1419.0,949.0,g,g,500.0,800.0,2838.0,1186.25,zoldsegkonzerv-210,"Alapvető élelmiszerek|Konzervek, olívabogyók|Zöldségkonzervek|Bab"
3083680538404|bonduelle zöldborsó 200 g,kg,-1644.231,-40.406,Bonduelle zöldborsó 200 g,Bonduelle zöldborsó 200 g,3083680538404,03083680538404,529.0,485.0,g,g,130.0,200.0,4069.231,2425.0,zoldsegkonzerv-210,"Alapvető élelmiszerek|Konzervek, olívabogyók|Zöldségkonzervek|Borsó"
3083680579698|bonduelle ecetes csemegeuborka 3-6 cm 550 g,kg,-4003.03,-64.914,Bonduelle ecetes csemegeuborka 3-6 cm 550 g,Bonduelle ecetes csemegeuborka 3-6 cm 550 g,3083680579698,03083680579698,1850.0,1190.0,g,g,300.0,550.0,6166.667,2163.636,savanyusag-222,Zöldség és gyümölcs|Zöldségek|Savanyúság|Uborka
3083680583442|bonduelle gyorsfagyasztott borsó-bébirépa zöldségkeverék 400 g,kg,50.0,1.889,Bonduelle gyorsfagyasztott borsó-bébirépa zöldségkeverék 400 g,Bonduelle gyorsfagyasztott borsó-bébirépa zöldségkeverék 400 g,3083680583442,03083680583442,1059.0,1079.0,g,g,400.0,400.0,2647.5,2697.5,koret-195,Mélyhűtött|Fagyasztott zöldség|Fagyasztott zöldségkeverék|Fagyasztott zöldségkeverék
3083680599900|bonduelle gyorsfagyasztott zöldborsó 1000 g,kg,-70.0,-3.848,Bonduelle gyorsfagyasztott zöldborsó 1000 g,Bonduelle gyorsfagyasztott zöldborsó 1000 g,3083680599900,03083680599900,1819.0,1749.0,g,g,1000.0,1000.0,1819.0,1749.0,koret-195,Mélyhűtött|Fagyasztott zöldség|Fagyasztott zöldségek|Fagyasztott zöldségek
3083680719025|bonduelle szeletelt ecetes cékla 540 g,kg,-2301.852,-58.275,Bonduelle szeletelt ecetes cékla 540 g,Bonduelle szeletelt ecetes cékla 540 g,3083680719025,03083680719025,1185.0,890.0,g,g,300.0,540.0,3950.0,1648.148,savanyusag-222,Zöldség és gyümölcs|Zöldségek|Savanyúság|Egyéb savanyúság
3083681003963|bonduelle gőzben párolt lencse 310 g,kg,-690.323,-23.673,Bonduelle gőzben párolt lencse 310 g,Bonduelle gőzben párolt lencse 310 g,3083681003963,03083681003963,904.0,690.0,g,g,310.0,310.0,2916.129,2225.806,zoldsegkonzerv-210,"Alapvető élelmiszerek|Konzervek, olívabogyók|Zöldségkonzervek|Egyéb zöldségek"
3083681007657|bonduelle prémium szeletelt csiperkegomba 280 g,kg,-2959.874,-47.967,Bonduelle Prémium szeletelt csiperkegomba 280 g,Bonduelle Prémium szeletelt csiperkegomba 280 g,3083681007657,03083681007657,1049.0,899.0,g,g,170.0,280.0,6170.588,3210.714,gomba-66,"Alapvető élelmiszerek|Konzervek, olívabogyók|Zöldségkonzervek|Gomba"
