key,base_unit,base_price_diff_b_minus_a,base_price_pct_b_minus_a,Spar_product_name,Prima_product_name,Spar_barcode,Prima_barcode,Spar_unit_price,Prima_unit_price,Spar_unit_type,Prima_unit_type,Spar_unit_step,Prima_unit_step,Spar_base_price,Prima_base_price,Spar_categories,Prima_categories
3014260022839|oral-b 3 effect medium manual toothbrush x2,db,670.0,106.518,Oral-B 3 Effect Medium Manual Toothbrush x2,Oral-B 3 Effect Medium Manual Toothbrush x2,3014260022839,3014260022839,629.0,1299.0,db,db,1.0,1.0,629.0,1299.0,fogkefe-298,szajapolas-203
3083681036862|bonduelle vapeur gyorsfagyasztott zsenge zöldhüvelyű vágott zöldbab 400 g,kg,225.0,8.499,Bonduelle Vapeur gyorsfagyasztott zsenge zöldhüvelyű vágott zöldbab  400 g,Bonduelle Vapeur gyorsfagyasztott zsenge zöldhüvelyű vágott zöldbab  400 g,3083681036862,3083681036862,1059.0,1149.0,g,g,400.0,400.0,2647.5,2872.5,koret-195,fagyasztott-zoldseg-136
3083681043716|bonduelle gőzben párolt vörösbab 310 g,kg,274.194,9.3,Bonduelle gőzben párolt vörösbab 310 g,Bonduelle gőzben párolt vörösbab 310 g,3083681043716,3083681043716,914.0,999.0,g,g,310.0,310.0,2948.387,3222.581,zoldsegkonzerv-210,zoldseg-konzerv-99
3083681063332|bonduelle vapeur gyorsfagyasztott royal zöldségkeverék 400 g,kg,350.0,13.875,Bonduelle Vapeur gyorsfagyasztott Royal zöldségkeverék 400 g,Bonduelle Vapeur gyorsfagyasztott Royal zöldségkeverék 400 g,3083681063332,3083681063332,1009.0,1149.0,g,g,400.0,400.0,2522.5,2872.5,koret-195,fagyasztott-zoldseg-136
3083681129885|bonduelle gold prémium szuperédes morzsolt csemegekukorica 340 g,kg,210.526,5.775,Bonduelle Gold Prémium szuperédes morzsolt csemegekukorica 340 g,Bonduelle Gold Prémium szuperédes morzsolt csemegekukorica 340 g,3083681129885,3083681129885,1039.0,1099.0,g,g,285.0,285.0,3645.614,3856.14,zoldsegkonzerv-210,zoldseg-konzerv-99
3083681129915|bonduelle gold prémium szuperédes kukorica 170 g,kg,464.286,9.366,Bonduelle Gold Prémium szuperédes kukorica 170 g,Bonduelle Gold Prémium szuperédes kukorica 170 g,3083681129915,3083681129915,694.0,759.0,g,g,140.0,140.0,4957.143,5421.429,zoldsegkonzerv-210,zoldseg-konzerv-99
"3083681139716|bonduelle good lunch fekete beluga lencse, bulgur, zöldségek és koktélparadicsom keveréke 250 g",kg,440.0,6.923,"Bonduelle Good Lunch fekete beluga lencse, bulgur, zöldségek és koktélparadicsom keveréke 250 g","Bonduelle Good Lunch fekete beluga lencse, bulgur, zöldségek és koktélparadicsom keveréke 250 g",3083681139716,3083681139716,1589.0,1699.0,g,g,250.0,250.0,6356.0,6796.0,keszetelek-217,keszetel-146
3083681152333|bonduelle créatif mexico kukoricás zöldségkeverék 300 g,kg,200.0,5.775,Bonduelle Créatif Mexico kukoricás zöldségkeverék 300 g,Bonduelle Créatif Mexico kukoricás zöldségkeverék 300 g,3083681152333,3083681152333,1039.0,1099.0,g,g,300.0,300.0,3463.333,3663.333,zoldsegkonzerv-210,zoldseg-konzerv-99
3083681157888|bonduelle créatif duo zöldborsó-bébirépa keverék 400 g,kg,200.0,9.423,Bonduelle Créatif Duo zöldborsó-bébirépa keverék 400 g,Bonduelle Créatif Duo zöldborsó-bébirépa keverék 400 g,3083681157888,3083681157888,849.0,929.0,g,g,400.0,400.0,2122.5,2322.5,zoldsegkonzerv-210,zoldseg-konzerv-99
"3387390122473|cini minis ropogós fahéjas gabonapehely teljes kiőrlésű búzával, vitaminokkal és vassal 250 g",kg,480.0,8.702,"Cini Minis ropogós fahéjas gabonapehely teljes kiőrlésű búzával, vitaminokkal és vassal 250 g","Cini Minis ropogós fahéjas gabonapehely teljes kiőrlésű búzával, vitaminokkal és vassal 250 g",3387390122473,3387390122473,1379.0,1499.0,g,g,250.0,250.0,5516.0,5996.0,gabonapehely-132,gabonapehely-75
"3387390339499|nestlé fitness gabonapehely teljes értékű búzával, vitaminokkal és ásványi anyagokkal 375 g",kg,506.667,9.953,"Nestlé Fitness gabonapehely teljes értékű búzával, vitaminokkal és ásványi anyagokkal 375 g","Nestlé Fitness gabonapehely teljes értékű búzával, vitaminokkal és ásványi anyagokkal 375 g",3387390339499,3387390339499,1909.0,2099.0,g,g,375.0,375.0,5090.667,5597.333,gabonapehely-132,gabonapehely-75
3574661257044|carefree cotton feel flexiform tisztasági betét illatanyagmentes 30 db,kg,1653.333,12.718,Carefree Cotton Feel Flexiform tisztasági betét illatanyagmentes 30 db,Carefree Cotton Feel Flexiform tisztasági betét illatanyagmentes 30 db,3574661257044,3574661257044,975.0,1099.0,g,g,75.0,75.0,13000.0,14653.333,intim-higienia-306,noi-kozmetikum-higienia-205
3574661329833|o.b. procomfort mini tampons 16 pcs,db,7.812,7.942,o.b. ProComfort Mini Tampons 16 pcs,o.b. ProComfort Mini Tampons 16 pcs,3574661329833,3574661329833,1574.0,1699.0,db,db,16.0,16.0,98.375,106.188,intim-higienia-306,noi-kozmetikum-higienia-205
3574661329840|o.b. procomfort normal tampons 16 pcs,db,7.812,7.942,o.b. ProComfort Normal Tampons 16 pcs,o.b. ProComfort Normal Tampons 16 pcs,3574661329840,3574661329840,1574.0,1699.0,db,db,16.0,16.0,98.375,106.188,intim-higienia-306,noi-kozmetikum-higienia-205
