key,stores_present,base_unit,min_store,max_store,min_base_price,max_base_price,diff,pct_diff,names_by_store,barcodes_by_store,unit_prices_by_store,unit_steps_by_store,categories_by_store
kecskeméti brokkolis csirkehús tésztával és sajttal bébiétel 8 hónapos kortól 220 g,Prima;Spar,kg,Spar,Prima,2640.909,3268.182,627.273,23.752,Prima=Kecskeméti brokkolis csirkehús tésztával és sajttal bébiétel 8 hónapos kortól 220 g; Spar=Kecskeméti brokkolis csirkehús tésztával és sajttal bébiétel 8 hónapos kortól 220 g,Prima=9007253101721; Spar=9007253101721,Prima=719.0; Spar=581.0,Prima=220.0 g; Spar=220.0 g,Prima=bebietel-209; Spar=bebietelek-317
saga strawberry ízesített gyümölcstea 20 filter 34 g,Prima;Tesco,kg,Tesco,Prima,20558.824,25441.176,4882.353,23.748,Prima=Saga Strawberry ízesített gyümölcstea 20 filter 34 g; Tesco=Saga Strawberry ízesített gyümölcstea 20 filter 34 g,Prima=5063270113691; Tesco=05063270113691,Prima=865.0; Tesco=699.0,Prima=34.0 g; Tesco=34.0 g,Prima=tea-169; Tesco=Italok|Tea|Gyümölcsteák|Gyümölcsteák
pedigree markies original kiegészítő állateledel felnőtt kutyák számára 150 g,Prima;Tesco,kg,Tesco,Prima,4660.0,5766.667,1106.667,23.748,Prima=Pedigree Markies Original kiegészítő állateledel felnőtt kutyák számára 150 g; Tesco=Pedigree Markies Original kiegészítő állateledel felnőtt kutyák számára 150 g,Prima=9003579302552; Tesco=09003579302552,Prima=865.0; Tesco=699.0,Prima=150.0 g; Tesco=150.0 g,Prima=kutyaeledel-229; Tesco=Kisállat|Kutyaeledelek & Kiegészítők|Jutalomfalatok|Kekszek
gyermelyi eperlevél 8 tojásos száraztészta 250 g,Spar;Tesco,kg,Tesco,Spar,2360.0,2920.0,560.0,23.729,Spar=Gyermelyi eperlevél 8 tojásos száraztészta 250 g; Tesco=Gyermelyi eperlevél 8 tojásos száraztészta 250 g,Spar=5997132504023; Tesco=05997132504023,Spar=730.0; Tesco=590.0,Spar=250.0 g; Tesco=250.0 g,"Spar=teszta-154; Tesco=Alapvető élelmiszerek|Rizs, tészta, hüvelyesek, egyéb köretek|Levestészták|Eperlevél"
gyermelyi cérnácska 8 tojásos száraztészta 250 g,Spar;Tesco,kg,Tesco,Spar,2360.0,2920.0,560.0,23.729,Spar=Gyermelyi cérnácska 8 tojásos száraztészta 250 g; Tesco=Gyermelyi cérnácska 8 tojásos száraztészta 250 g,Spar=5997132504009; Tesco=05997132504009,Spar=730.0; Tesco=590.0,Spar=250.0 g; Tesco=250.0 g,"Spar=teszta-154; Tesco=Alapvető élelmiszerek|Rizs, tészta, hüvelyesek, egyéb köretek|Levestészták|Cérnametélt"
"sió kék balaton smoothie 0,25 l",Prima;Spar;Tesco,l,Tesco,Prima,3716.0,4596.0,880.0,23.681,"Prima=Sió Kék balaton Smoothie 0,25 l; Spar=Sió Kék balaton Smoothie 0,25 l; Tesco=Sió Kék Balaton smoothie 0,25 l",Prima=9001400108519; Spar=9001400108519; Tesco=09001400112431,Prima=1149.0; Spar=1019.0; Tesco=929.0,Prima=250.0 ml; Spar=250.0 ml; Tesco=250.0 ml,Prima=gyumolcsle-gyumolcs-ital-176; Spar=friss-gyumolcslevek-59; Tesco=Zöldség és gyümölcs|Friss gyümölcslé és smoothie|Friss gyümölcslé és smoothie|Smoothie
"sió erdei piros bogyós smoothie 0,25 l",Prima;Spar;Tesco,l,Tesco,Prima,3716.0,4596.0,880.0,23.681,"Prima=Sió erdei piros bogyós smoothie 0,25 l; Spar=Sió erdei piros bogyós smoothie 0,25 l; Tesco=Sió erdei piros bogyós smoothie 0,25 l",Prima=9001400108427; Spar=9001400108427; Tesco=09001400112370,Prima=1149.0; Spar=1019.0; Tesco=929.0,Prima=250.0 ml; Spar=250.0 ml; Tesco=250.0 ml,Prima=gyumolcsle-gyumolcs-ital-176; Spar=friss-gyumolcslevek-59; Tesco=Zöldség és gyümölcs|Friss gyümölcslé és smoothie|Friss gyümölcslé és smoothie|Friss gyümölcslevek
"sió trópusi mangó smoothie 0,25 l",Prima;Spar;Tesco,l,Tesco,Prima,3716.0,4596.0,880.0,23.681,"Prima=Sió trópusi mangó smoothie 0,25 l; Spar=Sió trópusi mangó smoothie 0,25 l; Tesco=Sió trópusi mangó smoothie 0,25 l",Prima=9001400108458; Spar=9001400108458; Tesco=09001400108458,Prima=1149.0; Spar=1019.0; Tesco=929.0,Prima=250.0 ml; Spar=250.0 ml; Tesco=250.0 ml,Prima=gyumolcsle-gyumolcs-ital-176; Spar=friss-gyumolcslevek-59; Tesco=Zöldség és gyümölcs|Friss gyümölcslé és smoothie|Friss gyümölcslé és smoothie|Smoothie
"sió frissitő zöld kiwi smoothie 0,25 l",Prima;Spar;Tesco,l,Tesco,Prima,3716.0,4596.0,880.0,23.681,"Prima=Sió frissitő zöld kiwi smoothie 0,25 l; Spar=Sió frissitő zöld kiwi smoothie 0,25 l; Tesco=Sió frissitő zöld kiwi smoothie 0,25 l",Prima=9001400108489; Spar=9001400108489; Tesco=09001400108489,Prima=1149.0; Spar=1019.0; Tesco=929.0,Prima=250.0 ml; Spar=250.0 ml; Tesco=250.0 ml,Prima=gyumolcsle-gyumolcs-ital-176; Spar=friss-gyumolcslevek-59; Tesco=Zöldség és gyümölcs|Friss gyümölcslé és smoothie|Friss gyümölcslé és smoothie|Smoothie
pedigree ranchos originals kiegészítő állateledel felnőtt kutyák számára marhával 70 g,Prima;Tesco,kg,Tesco,Prima,13271.429,16414.286,3142.857,23.681,Prima=Pedigree Ranchos Originals kiegészítő állateledel felnőtt kutyák számára marhával 70 g; Tesco=Pedigree Ranchos Originals kiegészítő állateledel felnőtt kutyák számára marhával 70 g,Prima=4008429116322; Tesco=04008429116322,Prima=1149.0; Tesco=929.0,Prima=70.0 g; Tesco=70.0 g,Prima=kutyaeledel-229; Tesco=Kisállat|Kutyaeledelek & Kiegészítők|Jutalomfalatok|Jutalomfalatok & rágcsák
