key,base_unit,Spar_product_name,Spar_barcode,Spar_unit_price,Spar_unit_step,Spar_unit_type,Spar_base_price,Spar_categories,Prima_product_name,Prima_barcode,Prima_unit_price,Prima_unit_step,Prima_unit_type,Prima_base_price,Prima_categories,Tesco_product_name,Tesco_barcode,Tesco_unit_price,Tesco_unit_step,Tesco_unit_type,Tesco_base_price,Tesco_categories,min_store,max_store,pct_spread
barilla fusilli apró durum száraztészta 500 g,kg,Barilla Fusilli apró durum száraztészta 500 g,8076802085981,855.0,500.0,g,1710.0,durum-teszta-155,Barilla Fusilli apró durum száraztészta 500 g,8076802085981,1399.0,500.0,g,2798.0,koret-teszta-82,Barilla Fusilli apró durum száraztészta 500 g,08076802085981,719.0,500.0,g,1438.0,"Alapvető élelmiszerek|Rizs, tészta, hüvelyesek, egyéb köretek|Durumtészták|Durumtészták",Tesco,Prima,94.576
barilla maccheroni apró durum száraztészta 500 g,kg,Barilla Maccheroni apró durum száraztészta 500 g,8076808050440,855.0,500.0,g,1710.0,durum-teszta-155,Barilla Maccheroni apró durum száraztészta 500 g,8076808050440,1399.0,500.0,g,2798.0,koret-teszta-82,Barilla Maccheroni apró durum száraztészta 500 g,08076808050440,719.0,500.0,g,1438.0,"Alapvető élelmiszerek|Rizs, tészta, hüvelyesek, egyéb köretek|Durumtészták|Durumtészták",Tesco,Prima,94.576
barilla penne rigate apró durum száraztészta 500 g,kg,Barilla Penne Rigate apró durum száraztészta 500 g,8076802085738,769.0,500.0,g,1538.0,durum-teszta-155,Barilla Penne Rigate apró durum száraztészta 500 g,8076802085738,1399.0,500.0,g,2798.0,koret-teszta-82,Barilla Penne Rigate apró durum száraztészta 500 g,08076802085738,719.0,500.0,g,1438.0,"Alapvető élelmiszerek|Rizs, tészta, hüvelyesek, egyéb köretek|Durumtészták|Durumtészták",Tesco,Prima,94.576
barilla spaghettini szálas durum száraztészta 500 g,kg,Barilla Spaghettini szálas durum száraztészta 500 g,8076800195033,855.0,500.0,g,1710.0,durum-teszta-155,Barilla Spaghettini szálas durum száraztészta 500 g,8076800195033,1399.0,500.0,g,2798.0,koret-teszta-82,Barilla Spaghettini szálas durum száraztészta 500 g,08076800195033,719.0,500.0,g,1438.0,"Alapvető élelmiszerek|Rizs, tészta, hüvelyesek, egyéb köretek|Durumtészták|Durumtészták",Tesco,Prima,94.576
bonduelle bébirépa 400 g,kg,Bonduelle bébirépa 400 g,3083680026154,814.0,265.0,g,3071.698,zoldsegkonzerv-210,Bonduelle bébirépa 400 g,3083680026154,875.0,265.0,g,3301.887,zoldseg-konzerv-99,Bonduelle bébirépa 400 g,03083680026154,705.0,400.0,g,1762.5,"Alapvető élelmiszerek|Konzervek, olívabogyók|Zöldségkonzervek|Egyéb zöldségek",Tesco,Prima,87.341
"peroni nastro azzurro minőségi világos sör 5% 0,33 l",l,"Peroni Nastro Azzurro minőségi világos sör 5% 0,33 l",5998817300329,469.0,330.0,ml,1421.212,vilagos-sor-234,"Peroni Nastro Azzurro minőségi világos sör 5% 0,33 l",5901359154954,625.0,330.0,ml,1893.939,vilagos-sor-180,"Peroni Nastro Azzurro minőségi világos sör 5% 0,33 l",05998817300329,335.0,330.0,ml,1015.152,"Italok|Sör, cider|Világos sörök|Dobozos",Tesco,Prima,86.567
bonduelle zöldborsó 200 g,kg,Bonduelle zöldborsó 200 g,3083680538404,529.0,130.0,g,4069.231,zoldsegkonzerv-210,Bonduelle zöldborsó 200 g,3083680538404,575.0,130.0,g,4423.077,zoldseg-konzerv-99,Bonduelle zöldborsó 200 g,03083680538404,485.0,200.0,g,2425.0,"Alapvető élelmiszerek|Konzervek, olívabogyók|Zöldségkonzervek|Borsó",Tesco,Prima,82.395
baba 2in1 sampon és balzsam minden hajtípusra mandulaolajjal 400 ml,l,Baba 2in1 sampon és balzsam minden hajtípusra mandulaolajjal 400 ml,8710447462737,1259.0,400.0,ml,3147.5,szappanok-307,Baba 2in1 sampon és balzsam minden hajtípusra mandulaolajjal 400 ml,8710447462737,1799.0,400.0,ml,4497.5,hajapolas-202,Baba 2in1 sampon és balzsam minden hajtípusra mandulaolajjal 400 ml,08710447462737,999.0,400.0,ml,2497.5,Drogéria|Hajápolás|Női samponok|2in 1 Sampon és balzsam,Tesco,Prima,80.08
baba 2in1 sampon és balzsam száraz és töredezett hajra kókuszolajjal 400 ml,l,Baba 2in1 sampon és balzsam száraz és töredezett hajra kókuszolajjal 400 ml,8710447462720,1259.0,400.0,ml,3147.5,szappanok-307,Baba 2in1 sampon és balzsam száraz és töredezett hajra kókuszolajjal 400 ml,8710447462720,1799.0,400.0,ml,4497.5,hajapolas-202,Baba 2in1 sampon és balzsam száraz és töredezett hajra kókuszolajjal 400 ml,08710447462720,999.0,400.0,ml,2497.5,Drogéria|Hajápolás|Női samponok|2in 1 Sampon és balzsam,Tesco,Prima,80.08
baba sampon minden hajtípusra gyógynövényekkel 400 ml,l,Baba sampon minden hajtípusra gyógynövényekkel 400 ml,8710447462782,1259.0,400.0,ml,3147.5,szappanok-307,Baba sampon minden hajtípusra gyógynövényekkel 400 ml,8710447462782,1799.0,400.0,ml,4497.5,hajapolas-202,Baba sampon minden hajtípusra gyógynövényekkel 400 ml,08710447462782,999.0,400.0,ml,2497.5,Drogéria|Hajápolás|Női samponok|Normál hajra,Tesco,Prima,80.08
