index,category_id,name,display_name,url_category_path,parent_category_id,parent_url_category_path,depth,amounts,child_count,is_leaf,path,path_ids,image_url
323,vegyesItalok,Vegyes italok,Vegyes italok,élelmiszer/ital/égetett-szesz/vegyes-italok,égetettSzeszek,élelmiszer/ital/égetett-szesz,3,31,0,true,Élelmiszer > Ital > Égetett szesz > Vegyes italok,Élelmiszer|Ital|égetettSzeszek|vegyesItalok,https://cdn.metro-group.com/hu/hu_pim_106355001001_01.png
324,Alkoholmentes_1728026251959,Alkoholmentes,Alkoholmentes,élelmiszer/ital/égetett-szesz/alkoholmentes,égetettSzeszek,élelmiszer/ital/égetett-szesz,3,15,0,true,Élelmiszer > Ital > Égetett szesz > Alkoholmentes,Élelmiszer|Ital|égetettSzeszek|Alkoholmentes_1728026251959,https://cdn.metro-group.com/hu/hu_pim_176121001001_02.png
325,Sörök,Sör,Sör,élelmiszer/ital/sör,Ital,élelmiszer/ital,2,217,8,false,Élelmiszer > Ital > Sör,Élelmiszer|Ital|Sörök,https://cdn.metro-group.com/hu/hu_pim_75444001001_02.png
326,lagerPils_1739465520157,Lager/ Pils,Lager/ Pils,élelmiszer/ital/sör/lager-pils,Sörök,élelmiszer/ital/sör,3,68,0,true,Élelmiszer > Ital > Sör > Lager/ Pils,Élelmiszer|Ital|Sörök|lagerPils_1739465520157,https://cdn.metro-group.com/hu/hu_pim_173330001001_01.png
327,weizenBúza,Weizen/ Búza,Weizen/ Búza,élelmiszer/ital/sör/weizen-búza,Sörök,élelmiszer/ital/sör,3,6,0,true,Élelmiszer > Ital > Sör > Weizen/ Búza,Élelmiszer|Ital|Sörök|weizenBúza,https://cdn.metro-group.com/hu/hu_pim_158066001001_02.png
328,darkPils,Dark Pils,Dark Pils,élelmiszer/ital/sör/dark-pils,Sörök,élelmiszer/ital/sör,3,4,0,true,Élelmiszer > Ital > Sör > Dark Pils,Élelmiszer|Ital|Sörök|darkPils,https://cdn.metro-group.com/hu/hu_pim_67778001001_02.png
329,közepbarnaSörök,Középbarna sörök,Középbarna sörök,élelmiszer/ital/sör/középbarna-sörök,Sörök,élelmiszer/ital/sör,3,8,0,true,Élelmiszer > Ital > Sör > Középbarna sörök,Élelmiszer|Ital|Sörök|közepbarnaSörök,https://cdn.metro-group.com/hu/hu_pim_175964001001_02.png
330,ízesítettEsVegyesSörök,Ízesített és vegyes sörök,Ízesített és vegyes sörök,élelmiszer/ital/sör/ízesített-és-vegyes-sörök,Sörök,élelmiszer/ital/sör,3,10,0,true,Élelmiszer > Ital > Sör > Ízesített és vegyes sörök,Élelmiszer|Ital|Sörök|ízesítettEsVegyesSörök,https://cdn.metro-group.com/hu/hu_pim_148243001002_02.png
331,kulönlegesSörök,Különleges sörök,Különleges sörök,élelmiszer/ital/sör/különleges-sörök,Sörök,élelmiszer/ital/sör,3,72,0,true,Élelmiszer > Ital > Sör > Különleges sörök,Élelmiszer|Ital|Sörök|kulönlegesSörök,https://cdn.metro-group.com/hu/hu_pim_75444001001_02.png
332,almaborCider,"Almabor, Cider","Almabor, Cider",élelmiszer/ital/sör/almabor-cider,Sörök,élelmiszer/ital/sör,3,12,0,true,"Élelmiszer > Ital > Sör > Almabor, Cider",Élelmiszer|Ital|Sörök|almaborCider,https://cdn.metro-group.com/hu/hu_pim_174663001001_01.png
333,alacsonyAlkoholtartalmúEsAlkoholmentesSör,Alacsony alkoholtartalmú és alkoholmentes sör,Alacsony alkoholtartalmú és alkoholmentes sör,élelmiszer/ital/sör/alacsony-alkoholtartalmú-és-alkoholmentes-sör,Sörök,élelmiszer/ital/sör,3,37,0,true,Élelmiszer > Ital > Sör > Alacsony alkoholtartalmú és alkoholmentes sör,Élelmiszer|Ital|Sörök|alacsonyAlkoholtartalmúEsAlkoholmentesSör,https://cdn.metro-group.com/hu/hu_pim_173314001001_02.png
334,alkoholmentesItalok,Alkoholmentes ital,Alkoholmentes ital,élelmiszer/ital/alkoholmentes-ital,Ital,élelmiszer/ital,2,945,7,false,Élelmiszer > Ital > Alkoholmentes ital,Élelmiszer|Ital|alkoholmentesItalok,https://cdn.metro-group.com/hu/hu_pim_110518001001_02.png
335,energiaEsSportitalok_1739464237780,Energia és sportitalok,Energia és sportitalok,élelmiszer/ital/alkoholmentes-ital/energia-és-sportitalok,alkoholmentesItalok,élelmiszer/ital/alkoholmentes-ital,3,82,0,true,Élelmiszer > Ital > Alkoholmentes ital > Energia és sportitalok,Élelmiszer|Ital|alkoholmentesItalok|energiaEsSportitalok_1739464237780,https://cdn.metro-group.com/hu/hu_pim_176513001002_01.png
336,Gyumölcslevek,Gyümölcslevek,Gyümölcslevek,élelmiszer/ital/alkoholmentes-ital/gyümölcslevek,alkoholmentesItalok,élelmiszer/ital/alkoholmentes-ital,3,273,0,true,Élelmiszer > Ital > Alkoholmentes ital > Gyümölcslevek,Élelmiszer|Ital|alkoholmentesItalok|Gyumölcslevek,https://cdn.metro-group.com/hu/hu_pim_107244001002_02.png
337,fogyasztásraKeszKáveTea_1739464244630,Ice tea,Ice tea,élelmiszer/ital/alkoholmentes-ital/ice-tea,alkoholmentesItalok,élelmiszer/ital/alkoholmentes-ital,3,106,0,true,Élelmiszer > Ital > Alkoholmentes ital > Ice tea,Élelmiszer|Ital|alkoholmentesItalok|fogyasztásraKeszKáveTea_1739464244630,https://cdn.metro-group.com/hu/hu_pim_175018001001_02.png
338,szensavasUdítők_1739464262047,Szénsavas üdítők,Szénsavas üdítők,élelmiszer/ital/alkoholmentes-ital/szénsavas-üdítők,alkoholmentesItalok,élelmiszer/ital/alkoholmentes-ital,3,195,0,true,Élelmiszer > Ital > Alkoholmentes ital > Szénsavas üdítők,Élelmiszer|Ital|alkoholmentesItalok|szensavasUdítők_1739464262047,https://cdn.metro-group.com/hu/hu_pim_173151001001_01.png
339,gyumölcsleKoncentrátum_1739464250201,Citromlé,Citromlé,élelmiszer/ital/alkoholmentes-ital/citromlé,alkoholmentesItalok,élelmiszer/ital/alkoholmentes-ital,3,12,0,true,Élelmiszer > Ital > Alkoholmentes ital > Citromlé,Élelmiszer|Ital|alkoholmentesItalok|gyumölcsleKoncentrátum_1739464250201,https://cdn.metro-group.com/hu/hu_pim_179415001001_02.png
340,Szörpök_1739464269892,Szörpök,Szörpök,élelmiszer/ital/alkoholmentes-ital/szörpök,alkoholmentesItalok,élelmiszer/ital/alkoholmentes-ital,3,120,0,true,Élelmiszer > Ital > Alkoholmentes ital > Szörpök,Élelmiszer|Ital|alkoholmentesItalok|Szörpök_1739464269892,https://cdn.metro-group.com/hu/hu_pim_81485001001_01.png
341,Vizek_1739464287881,Vizek,Vizek,élelmiszer/ital/alkoholmentes-ital/vizek,alkoholmentesItalok,élelmiszer/ital/alkoholmentes-ital,3,157,0,true,Élelmiszer > Ital > Alkoholmentes ital > Vizek,Élelmiszer|Ital|alkoholmentesItalok|Vizek_1739464287881,https://cdn.metro-group.com/hu/hu_pim_174242001001_02.png
