index,id,name,slug,parent_id,count,child_count,is_leaf,is_fetch_root,path,path_ids,permalink,image_url
10,1314,Hagyományos fűszer,hagyomanyos,1313,74,0,true,false,Fűszer > Hagyományos fűszer,1313|1314,https://cooponline.hu/kategoria/fuszer/hagyomanyos/,https://cooponline.hu/wp-content/uploads/2023/06/Fuszer-Hagyomanyos.webp
11,1372,Nedves ételízesítők,nedves,1313,46,0,true,false,Fűszer > Nedves ételízesítők,1313|1372,https://cooponline.hu/kategoria/fuszer/nedves/,https://cooponline.hu/wp-content/uploads/2023/06/Fuszer-Nedves-Izesitok.webp
12,1371,Ételízesítők,etelizesitok,1313,12,0,true,false,Fűszer > Ételízesítők,1313|1371,https://cooponline.hu/kategoria/fuszer/etelizesitok/,https://cooponline.hu/wp-content/uploads/2023/06/Fuszer-Etelizesito.webp
13,1339,Ital,ital,,689,11,false,true,Ital,1339,https://cooponline.hu/kategoria/ital/,https://cooponline.hu/wp-content/uploads/2023/06/ital.webp
14,1342,Bor,bor,1339,35,4,false,false,Ital > Bor,1339|1342,https://cooponline.hu/kategoria/ital/bor/,https://cooponline.hu/wp-content/uploads/2023/06/ital-bor.webp
15,1344,Cider,cider,1342,7,0,true,false,Ital > Bor > Cider,1339|1342|1344,https://cooponline.hu/kategoria/ital/bor/cider/,https://cooponline.hu/wp-content/uploads/2025/10/cider.webp
16,1345,Fehér bor,feher,1342,18,0,true,false,Ital > Bor > Fehér bor,1339|1342|1345,https://cooponline.hu/kategoria/ital/bor/feher/,https://cooponline.hu/wp-content/uploads/2023/06/ital-bor.webp
17,1343,Rosé bor,rose,1342,1,0,true,false,Ital > Bor > Rosé bor,1339|1342|1343,https://cooponline.hu/kategoria/ital/bor/rose/,https://cooponline.hu/wp-content/uploads/2023/06/bor-rose.webp
18,1346,Vörös bor,voros,1342,16,0,true,false,Ital > Bor > Vörös bor,1339|1342|1346,https://cooponline.hu/kategoria/ital/bor/voros/,https://cooponline.hu/wp-content/uploads/2023/06/ital-bor.webp
19,1351,Energiaital,energiaital,1339,38,0,true,false,Ital > Energiaital,1339|1351,https://cooponline.hu/kategoria/ital/energiaital/,https://cooponline.hu/wp-content/uploads/2023/06/ital-energiaital.webp
20,1347,Gyümölcslé,gyumolcsle,1339,117,0,true,false,Ital > Gyümölcslé,1339|1347,https://cooponline.hu/kategoria/ital/gyumolcsle/,https://cooponline.hu/wp-content/uploads/2023/06/ital-gyumolcsle.webp
21,1352,"Kávé, Tea, Kakaó",kave-tea-kakao,1339,118,0,true,false,"Ital > Kávé, Tea, Kakaó",1339|1352,https://cooponline.hu/kategoria/ital/kave-tea-kakao/,https://cooponline.hu/wp-content/uploads/2023/06/ital-kave-tea-kakao.webp
22,1374,Pezsgő,pezsgo,1339,26,0,true,false,Ital > Pezsgő,1339|1374,https://cooponline.hu/kategoria/ital/pezsgo/,https://cooponline.hu/wp-content/uploads/2023/06/Ital-pezsgo.webp
23,1375,Szeszesital,szeszesital,1339,57,0,true,false,Ital > Szeszesital,1339|1375,https://cooponline.hu/kategoria/ital/szeszesital/,https://cooponline.hu/wp-content/uploads/2023/06/Ital-szeszes.webp
24,1376,Szörp,szorp,1339,17,0,true,false,Ital > Szörp,1339|1376,https://cooponline.hu/kategoria/ital/szorp/,https://cooponline.hu/wp-content/uploads/2023/06/Ital-szorp.webp
25,1348,Sör,sor,1339,45,2,false,false,Ital > Sör,1339|1348,https://cooponline.hu/kategoria/ital/sor/,https://cooponline.hu/wp-content/uploads/2023/06/ital-sor.webp
26,1349,Alkoholmentes sör,alkoholmentes,1348,14,0,true,false,Ital > Sör > Alkoholmentes sör,1339|1348|1349,https://cooponline.hu/kategoria/ital/sor/alkoholmentes/,https://cooponline.hu/wp-content/uploads/2025/11/alkoholmentes-sor.webp
