store,product_name,barcode,unit_price,unit_step,unit_type,base_price,base_unit,reason,categories
Tesco,Panzi Pet Fehér Hal macska és teknős csemege 10 g,05998113551173,1549.0,10.0,g,154900.0,kg,too_high,Kisállat|Macskaeledelek & Kiegészítők|Jutalomfalatok|Jutalomfalatok
Spar,Vifon Tokyoto pörkölt tengeri algalapok 14 g,5901882017542,2159.0,14.0,g,154214.286,kg,too_high,egyeb-172
Spar,Durex Feel Thin óvszer 3 db,5010232967441,1469.0,10.0,g,146900.0,kg,too_high,ovszerek-sikositok-310
Prima,Durex Feel Intimate óvszer 3 db,5010232968011,1399.0,10.0,g,139900.0,kg,too_high,patika-207
Prima,Durex Feel Thin óvszer 3 db,5010232967441,1399.0,10.0,g,139900.0,kg,too_high,patika-207
Tesco,VIP 007 autó illatosító 13 g,03800201099936,1799.0,13.0,g,138384.615,kg,too_high,Otthon-hobbi|Autós kiegészítők|Illatosítók|Illatosítók
Tesco,VIP 808 Caribi légfrissítő 13 g,03800201098984,1799.0,13.0,g,138384.615,kg,too_high,Otthon-hobbi|Autós kiegészítők|Illatosítók|Illatosítók
Tesco,VIP 511 Caribi illatosító 13 g,03800201094160,1799.0,13.0,g,138384.615,kg,too_high,Otthon-hobbi|Autós kiegészítők|Illatosítók|Illatosítók
Tesco,VIP 700 Caribi illatosító 13 g,03800201099110,1799.0,13.0,g,138384.615,kg,too_high,Otthon-hobbi|Autós kiegészítők|Illatosítók|Illatosítók
Tesco,VIP 377 Caribi illatosító 13 g,03800201099165,1799.0,13.0,g,138384.615,kg,too_high,Otthon-hobbi|Autós kiegészítők|Illatosítók|Illatosítók
Tesco,"Waterdrop áfonya-szeder-alma ízű pezsgőkocka ital készítéséhez 12 x 2,0 g (24,0 g)",09120132066529,3290.0,24.0,g,137083.333,kg,too_high,"Italok|Szörpök, italporok, citromlevek|Italporok|Italporok"
Spar,"Durex Intense óvszer, 10 db",5052197051797,6089.0,45.0,g,135311.111,kg,too_high,ovszerek-sikositok-310
Tesco,Wunder-Baum Clip Vanilla autó légfrissítő 12 g,05999070314221,1599.0,12.0,g,133250.0,kg,too_high,Otthon-hobbi|Autós kiegészítők|Illatosítók|Illatosítók
Tesco,Wunder-Baum Clip Tropical autó légfrissítő 12 g,05999070314214,1599.0,12.0,g,133250.0,kg,too_high,Otthon-hobbi|Autós kiegészítők|Illatosítók|Illatosítók
Tesco,Little Joe Ginger-Lemon illatosító 12 g,07640186841092,1599.0,12.0,g,133250.0,kg,too_high,Otthon-hobbi|Autós kiegészítők|Illatosítók|Illatosítók
Tesco,Little Pup Minty Fresh autó illatosító 12 g,07640186843614,1599.0,12.0,g,133250.0,kg,too_high,Otthon-hobbi|Autós kiegészítők|Illatosítók|Illatosítók
Spar,Durex Feel Thin óvszer 12 db,5010232963016,5249.0,40.0,g,131225.0,kg,too_high,ovszerek-sikositok-310
Spar,"Durex Feel Intimate óvszer, 12 db",5010232964617,5249.0,40.0,g,131225.0,kg,too_high,ovszerek-sikositok-310
Tesco,"Waterdrop pezsgőkocka, amelyből frissítő ital készíthető grapefruit ízzel 12 x 2,1 g (25,2 g)",09120134225863,3290.0,25.2,g,130555.556,kg,too_high,"Italok|Szörpök, italporok, citromlevek|Szörpök, szirupok|Egyéb ízesítésű szörpök, szirupok"
Tesco,"Waterdrop pezsgőkocka frissítő ital készítéséhez alma gyümölcsporral 12 x 2,1 g (25,2 g)",09120134226037,3290.0,25.2,g,130555.556,kg,too_high,"Italok|Szörpök, italporok, citromlevek|Szörpök, szirupok|Egyéb ízesítésű szörpök, szirupok"
Tesco,House of Asia sushi nori 6 db 13 g,05902898828764,1659.0,13.0,g,127615.385,kg,too_high,"Alapvető élelmiszerek|Nemzetközi konyha|Távol keleti konyha|Japán, kínai konyha"
Spar,"Dr. Chen Patika Máriatövis Forte étrend-kiegészítő kapszula 60 db 27,6 g",5999561420578,3499.0,27.6,g,126775.362,kg,too_high,egyeb-etrendkiegeszitok-vitaminok-152
Tesco,"Canderel stevia növényből származó szteviol glikozid alapú asztali édesítőszer 120 db 10,2 g",07630486400662,1289.0,10.2,g,126372.549,kg,too_high,Speciális|Hozzáadott cukor mentes|Édesítők|Édesítők
