store,basis,key,count,names,barcodes,unit_steps
Tesco,name,pick szeletelt eredeti téliszalámi 70 g,2,PICK szeletelt eredeti téliszalámi 70 g,05998003124043 | 05998003124104,70.0 g
Tesco,name,tesco darált marhahús 500 g,2,Tesco darált marhahús 500 g,05995805017511 | 05999550507709,500.0 g
Tesco,name,häagen-dazs jégkrém válogatás 4 x 95 ml (380 ml),2,Häagen-Dazs jégkrém válogatás 4 x 95 ml (380 ml),03415581520712 | 03415581571110,380.0 ml
Tesco,name,cornexi sárgabarackos töltött zabrudi 30 g,2,Cornexi sárgabarackos töltött zabrudi 30 g,05998038316857 | 05998038321325,30.0 g
Tesco,name,tesco vegyes gyümölcsízű gumicukor 100 g,2,Tesco vegyes gyümölcsízű gumicukor 100 g,05051007155120 | 05051007170949,100.0 g
Tesco,name,"mogyi pirított, sózott földimogyoró 150 g",2,"Mogyi pirított, sózott földimogyoró 150 g",05997347540236 | 05997347541028,150.0 g
Tesco,name,tesco free from kukoricalisztből és rizslisztből készült száraztészta 250 g,2,Tesco Free From kukoricalisztből és rizslisztből készült száraztészta 250 g,05051898991562 | 05053526937232,250.0 g
Tesco,name,"dreher gold minőségi világos sör 5% 0,5 l",2,"Dreher Gold minőségi világos sör 5% 0,5 l",05998817313015 | 05998817313060,500.0 ml
Tesco,name,hey-ho őszibarackital 1 l,2,Hey-Ho őszibarackital 1 l,09008700179027 | 09008700179140,1000.0 ml
Tesco,name,"pilsner urquell minőségi világos sör 4,4% 0,5 l",2,"Pilsner Urquell minőségi világos sör 4,4% 0,5 l",08594404023380 | 08594404024509,500.0 ml
Tesco,name,"borsodi világos sör 4,5% 0,5 l",2,"Borsodi világos sör 4,5% 0,5 l",00000059969921 | 05998817520567,500.0 ml
Tesco,name,hey-ho almaital 1 l,2,Hey-Ho almaital 1 l,09008700179003 | 09008700179102,1000.0 ml
Tesco,name,"kőbányai világos sör 4,3% 0,5 l",2,"Kőbányai világos sör 4,3% 0,5 l",05998817313404 | 05998817313442,500.0 ml
Tesco,name,törley alkoholmentes borból készült habzó ital 750 ml,2,Törley alkoholmentes borból készült habzó ital 750 ml,05999136650935 | 05999136650942,750.0 ml
Tesco,name,"peroni nastro azzurro minőségi világos sör 5% 0,33 l",2,"Peroni Nastro Azzurro minőségi világos sör 5% 0,33 l",05901359154954 | 05998817300329,330.0 ml
Tesco,name,"stella artois minőségi világos sör 5% 0,5 l",2,"Stella Artois minőségi világos sör 5% 0,5 l",05998817522233 | 05998817531204,500.0 ml
Tesco,name,"staropramen dark minőségi barna sör 4,4% 0,5 l",2,"Staropramen Dark minőségi barna sör 4,4% 0,5 l",05998817530986 | 08593868002283,500.0 ml
Tesco,name,"staropramen unfiltered minőségi világos, szűretlen sör 5% 0,5 l",2,"Staropramen Unfiltered minőségi világos, szűretlen sör 5% 0,5 l",05998817531464 | 08593868002368,500.0 ml
Tesco,name,"nutriversum flow erdei gyümölcs ízesítésű, kollagén-, glicin-, l-arginin tartalmú ital 500 ml",2,"Nutriversum Flow erdei gyümölcs ízesítésű, kollagén-, glicin-, L-arginin tartalmú ital 500 ml",05999107125486 | 05999107125509,500.0 ml
Tesco,name,vileda supermocio soft felmosófej,2,Vileda Supermocio Soft felmosófej,04023103094192 | 08001940005720,1.0 db
Tesco,name,air wick freshmatic fehér virágok automata légfrissítő spray utántöltő 250 ml,2,Air Wick Freshmatic Fehér Virágok automata légfrissítő spray utántöltő 250 ml | Air Wick Freshmatic Fehér virágok automata légfrissítő spray utántöltő 250 ml,05997321756462 | 05999109542038,250.0 ml
Tesco,name,"ambi pur fürdőszobai légfrissítő, küzd a szagok ellen spring awakening db",3,"Ambi Pur Fürdőszobai Légfrissítő, Küzd A Szagok Ellen Spring Awakening db",08006530064996 | 08700216014298 | 08700216014366,1.0 db
