store_product_id,product_name,barcode,normalized_unit_price,normalized_step,normalized_unit,tesco_actual,tesco_unit_price,tesco_measure,derived_step_from_tesco_unit_price,derived_unit,ratio,categories
220294016,Hansaplast Marvel sebtapasz 20x,04005900717672,1369.0,1.0,db,1369,68.5,each,19.985,db,19.985,Drogéria|Patika|Gyógyászati segédeszközök|Gyógyászati segédeszközök
100692793,Tesco sütőpapír 38 x 42 cm 20 ív,05051007122344,525.0,1.0,db,525,26.3,each,19.962,db,19.962,Háztartás|Konyhai kellékek és szemeteszsákok|Fóliák és sütőpapírok|Sütőpapírok
220278200,Naturella Normal To Go (individually wrapped) Tisztasági Betét 16X20,08001841280561,529.0,1.0,db,529,26.5,each,19.962,db,19.962,Drogéria|Női higiénia|Tisztasági betétek|Tisztasági betétek
100080746,Naturella Light Kamilla Tisztasági Betét 18X20,04015400240310,499.0,1.0,db,499,25.0,each,19.96,db,19.96,Drogéria|Női higiénia|Tisztasági betétek|Tisztasági betétek
220318388,Naturella X Normal Camomile Tisztasági Betét20,08006540100684,499.0,1.0,db,499,25.0,each,19.96,db,19.96,Drogéria|Női higiénia|Tisztasági betétek|Tisztasági betétek
220330309,Lynx műszaki rajzlap A4 20 lap,05999570821748,479.0,1.0,db,479,24.0,each,19.958,db,19.958,"Otthon-hobbi|Iskolai és irodai kellékek|Kötelező termékek|Rajzlap, írólap"
100080647,Discreet Légáteresztő illatmentes Tisztasági Betétek,04015400165804,399.0,1.0,db,399,20.0,each,19.95,db,19.95,Drogéria|Női higiénia|Tisztasági betétek|Tisztasági betétek
100080648,Discreet Légáteresztő Multiform Waterlilly Tisztasági Betétek x20,04015400107835,399.0,1.0,db,399,20.0,each,19.95,db,19.95,Drogéria|Női higiénia|Tisztasági betétek|Tisztasági betétek
220330408,Lynx A4 famentes rajzlap 20 lap,05999570821571,399.0,1.0,db,399,20.0,each,19.95,db,19.95,"Otthon-hobbi|Iskolai és irodai kellékek|Kötelező termékek|Rajzlap, írólap"
101285828,Tesco Home Office 5 db-os ragasztós jelölő 100 lap,05051140643430,379.0,5.0,db,379,3.8,each,99.737,db,19.947,Otthon-hobbi|Iskolai és irodai kellékek|Irodaszerek|Irodai kiegészítők
100686537,Stor evőeszköz készlet 18 db,08412497981342,999.0,18.0,db,999,999.0,each,1.0,db,18.0,Otthon-hobbi|Otthon|Konyha és étkező|Konyhai kiegészítők
100878282,Addo Magnimake pasztell mágneses szett 18 db,05056289423226,6599.0,18.0,db,6599,6599.0,each,1.0,db,18.0,Otthon-hobbi|Játékok|Legkisebbeknek|Legkisebbeknek
105007751,Zewa Eco Comfort 3 rétegű toalettpapír 16 tekercs,07322542226902,2679.0,1.0,db,2679,167.4,each,16.004,db,16.004,"Háztartás|Háztartási papír|Toalettpapír|3 rétegű, illatmentes"
100249046,Tesco Home rozsdamentes acél evőeszközkészlet 16 db-os,05057753104498,1599.0,16.0,db,1599,1599.0,each,1.0,db,16.0,Otthon-hobbi|Otthon|Konyha és étkező|Étkészlet
100486756,Tesco Home Adorn evőeszközkészlet 16 db-os,05059316743267,5990.0,16.0,db,5990,5990.0,each,1.0,db,16.0,Otthon-hobbi|Otthon|Konyha és étkező|Étkészlet
100243038,Tesco Home étkészlet 16 db-os,05057753104450,5999.0,16.0,db,5999,5999.0,each,1.0,db,16.0,Otthon-hobbi|Otthon|Konyha és étkező|Étkészlet
100952173,F&F Home Foxton 16 db-os evőeszközkészlet,05059697728440,5990.0,16.0,db,5990,5990.0,each,1.0,db,16.0,Otthon-hobbi|Otthon|Konyha és étkező|Étkészlet
210000348,Zewa Deluxe Delicate Care toalettpapír 3 rétegű 16 tekercs,07322540313321,2699.0,1.0,db,2699,168.7,each,15.999,db,15.999,"Háztartás|Háztartási papír|Toalettpapír|3 rétegű, illatosított"
209261880,Zewa Deluxe Camomile Comfort toalettpapír 3 rétegű 16 tekercs,07322540201925,2699.0,1.0,db,2699,168.7,each,15.999,db,15.999,"Háztartás|Háztartási papír|Toalettpapír|3 rétegű, illatosított"
209261897,Zewa Deluxe Cashmere Peach toalettpapír 3 rétegű 16 tekercs,07322540201192,2699.0,1.0,db,2699,168.7,each,15.999,db,15.999,"Háztartás|Háztartási papír|Toalettpapír|3 rétegű, illatosított"
100080631,Always Ultra Day Super Egészségügyi Betét (2-es Méret) Szárnyas Betét x 16],08700216861069,1459.0,1.0,db,1459,91.2,each,15.998,db,15.998,Drogéria|Női higiénia|Intim betétek|Intim betétek
105001748,Tesco Soft Luxury White toalett papír 3 rétegű 16 tekercs,05059944689401,2369.0,1.0,db,2369,148.1,each,15.996,db,15.996,"Háztartás|Háztartási papír|Toalettpapír|3 rétegű, illatmentes"
105001652,Tesco Soft Luxury toalett papír Aloe Vera illattal 3 rétegű 16 tekercs,05059944689333,2369.0,1.0,db,2369,148.1,each,15.996,db,15.996,"Háztartás|Háztartási papír|Toalettpapír|3 rétegű, illatosított"
120704068,Ooops! Excellence Champion Edition Sensitive toalettpapír 3 rétegű 16 tekercs,05998648709834,2249.0,1.0,db,2249,140.6,each,15.996,db,15.996,"Háztartás|Háztartási papír|Toalettpapír|3 rétegű, illatmentes"
120704051,Ooops! Excellence Camomile toalettpapír 3 rétegű 16 tekercs,05998648706192,2249.0,1.0,db,2249,140.6,each,15.996,db,15.996,"Háztartás|Háztartási papír|Toalettpapír|3 rétegű, illatosított"
220315738,Ooops! Excellence Lotion toalettpapír 3 rétegű 16 tekercs,05998648706031,2249.0,1.0,db,2249,140.6,each,15.996,db,15.996,"Háztartás|Háztartási papír|Toalettpapír|3 rétegű, illatmentes"
