index,name,slug,id,parent_slug,depth,subcategories
249,Fehér bor,feher-bor-249,10c242a3bcc8210618c7325d,borok-248,1,0
250,Vörös bor,voros-bor-250,4474eb3c4ad244fd30052092,borok-248,1,0
251,Rosé bor,rose-bor-251,d165baa6dc87e920efa1526c,borok-248,1,0
252,"Pezsgő, gyöngyöző bor",pezsgo-gyongyozo-bor-252,4319a8b3dabe8d27db847d53,borok-248,1,0
253,"Boralapú italok, sherry, egyéb szeszezett bor",boralapu-italok-sherry-egyeb-szeszezett-bor-253,de801eedd3da3a079ea6be19,borok-248,1,0
254,Alkoholmentes pezsgő,alkoholmentes-pezsgo-254,b6fedee3aeb64419101cdf2b,borok-248,1,0
255,Ajándékötletek,ajandekotletek-255,c082616b0337820767e4e03a,,0,2
257,Ajándékkosár,ajandekkosar-257,45b4d934f1cd04d1280db6d2,ajandekotletek-255,1,0
259,Ajándékcsomag,ajandekcsomag-259,417f17dee5c6c4a59f3080e1,ajandekotletek-255,1,0
261,Háztartás,haztartas-261,499a7a642ec84b1d46ebde52,,0,24
262,Scrub Daddy,scrub-daddy-262,c7e7e03f58b971435378abbb,haztartas-261,1,0
263,Mosógél,mosogel-263,57cbcdf17d6c2e790282a210,haztartas-261,1,0
264,Mosókapszula,mosokapszula-264,929c74f53b8602ce235b6699,haztartas-261,1,0
265,Mosópor,mosopor-265,8e90e572ad97f4240e52cbf0,haztartas-261,1,0
266,Öblítő,oblito-266,0f95dcf0944cfeb7b233f5a2,haztartas-261,1,0
267,Mosogatószerek,mosogatoszerek-267,e32436695c4f92abc3e7f47e,haztartas-261,1,0
268,Szalvéta,szalveta-268,56ba6859fcc3b8913be179fd,haztartas-261,1,0
269,Papírzsebkendő,papirzsebkendo-269,fd207d6f9aa181522ab25cae,haztartas-261,1,0
270,Toalettpapír,toalettpapir-270,b73e68d6a6200a6ec386d596,haztartas-261,1,0
271,Háztartási papírtörlő,haztartasi-papirtorlo-271,971576cd0d42a1739743413b,haztartas-261,1,0
272,Fertőtlenítő-és tisztítószer,fertotlenito-es-tisztitoszer-272,0ca1c6ed846db9d99dccc5d5,haztartas-261,1,0
273,Általános tisztítószer,altalanos-tisztitoszer-273,d1f675806a37405bc66a8349,haztartas-261,1,0
274,Konyhai tisztítószer,konyhai-tisztitoszer-274,8834cdf4dbf678f6a5cfd8fb,haztartas-261,1,0
275,Fürdőszobai tisztítószer,furdoszobai-tisztitoszer-275,0003619d3b2a62a30438d574,haztartas-261,1,0
276,"Sütőpapír, alufólia, folpack",sutopapir-alufolia-folpack-276,8e7370feaa207926e5b34b4c,haztartas-261,1,0
277,Szemeteszsák,szemeteszsak-277,2c29b64291786e9f52f7fab8,haztartas-261,1,0
278,Légfrissítő,legfrissito-278,e1c0b3e2a242941b0ff680ed,haztartas-261,1,0
279,Rovarirtók,rovarirtok-279,d26230e238c433154686c375,haztartas-261,1,0
280,Fém-és tűzhelytisztítók,fem-es-tuzhelytisztitok-280,22f39f3b6281c8c0a6e6ba77,haztartas-261,1,0
281,Bútorápoló,butorapolo-281,c27d42bb4740b9ee61fbc901,haztartas-261,1,0
282,Sebtapasz,sebtapasz-282,a60eb043d92aa42005f1cd0f,haztartas-261,1,0
283,Egyéb háztartási kellékek,egyeb-haztartasi-kellekek-283,2570791230d855589a06c917,haztartas-261,1,0
285,Kert és növényápolás,kert-es-novenyapolas-285,d4fc323ccbf9ad9d7e06a5b8,haztartas-261,1,0
286,Gyufa,gyufa-286,08c8807f54ec8938b1b3ba47,haztartas-261,1,0
288,Kozmetikumok,kozmetikumok-288,7b4905587c9e5a08e72dd374,,0,25
289,Spray Dezodor,spray-dezodor-289,8d49124f9bde6b51aead31ae,kozmetikumok-288,1,0
291,"Golyós, stift dezodor",golyos-stift-dezodor-291,6f0a347b18dbab436897a7c5,kozmetikumok-288,1,0
292,Krémek,kremek-292,7105733107453129653a02f3,kozmetikumok-288,1,0
293,Arcápolás,arcapolas-293,c37e813db381609920207e9e,kozmetikumok-288,1,0
294,Borotvahab,borotvahab-294,94882ef87efb11bbaeb717a8,kozmetikumok-288,1,0
295,Borotva,borotva-295,bcf7411bca72204c544b8cb6,kozmetikumok-288,1,0
296,Aftershave,aftershave-296,2ea136a545e0ec0999b4a6c1,kozmetikumok-288,1,0
297,Ajakápolók,ajakapolok-297,e95faf7af40f39575515d3a2,kozmetikumok-288,1,0
298,Fogkefe,fogkefe-298,b8756da3e63ba2f3ec42a21c,kozmetikumok-288,1,0
299,Fogkrém,fogkrem-299,a4e77c0186ec45d75162b9e9,kozmetikumok-288,1,0
300,Szájápolás,szajapolas-300,467eb8c1e918d609b06cc012,kozmetikumok-288,1,0
301,Hajsampon,hajsampon-301,7ab2b010b6d6bfe8fef6ff65,kozmetikumok-288,1,0
302,Hajbalzsam,hajbalzsam-302,fb48fed763c07e089fbd78a4,kozmetikumok-288,1,0
303,Hajápoló termékek,hajapolo-termekek-303,c233e4bca1e9a7445a8d8061,kozmetikumok-288,1,0
304,Hajfesték,hajfestek-304,b9f1e264bca0af7d66a5d809,kozmetikumok-288,1,0
305,Testápolás,testapolas-305,fb4d31d360abb86c4beb0948,kozmetikumok-288,1,0
306,Intim higiénia,intim-higienia-306,d40c5d9eadc89a905fc04da0,kozmetikumok-288,1,0
307,Szappanok,szappanok-307,fafd94e76021f9c180477b48,kozmetikumok-288,1,0
308,"Női, családi tusfürdő",noi-csaladi-tusfurdo-308,8dcaa9d6ec3eb666d954f464,kozmetikumok-288,1,0
309,Férfi tusfürdő,ferfi-tusfurdo-309,3d254aead2e75477ed427fae,kozmetikumok-288,1,0
310,"Óvszerek, síkosítók",ovszerek-sikositok-310,ffe73ab53811a904cd8919a0,kozmetikumok-288,1,0
311,Törlőkendő,torlokendo-311,e94c71218f1d0d9a949d9230,kozmetikumok-288,1,0
312,"Habfürdő, fürdősó",habfurdo-furdoso-312,9e30d8de2aab7f563210b8dc,kozmetikumok-288,1,0
313,Egyéb,egyeb-313,0c8d5030eea5d26632a11248,kozmetikumok-288,1,0
314,"Parfüm, testpermet",parfum-testpermet-314,b6628b4dc635d78b06c8c6e9,kozmetikumok-288,1,0
316,Baba,baba-316,b647f12e6be7000c0b4632ec,,0,4
317,Bébiételek,bebietelek-317,40499f88c02a705cfb4abba2,baba-316,1,0
318,Babaápolás,babaapolas-318,aeb63974139ffc5cf9430e60,baba-316,1,0
319,Pelenka,pelenka-319,8109188474a15b6e45dadb68,baba-316,1,0
320,Tápszerek,tapszerek-320,652967db1f81ad7a28026abb,baba-316,1,0
321,Kisállat,kisallat-321,21d188d01a794498034a3e4f,,0,3
322,Kutyaeledel,kutyaeledel-322,d861a45c58b7af26c70f9e6e,kisallat-321,1,0
323,Macskaeledel,macskaeledel-323,f25deff2146fd334ca7f34ae,kisallat-321,1,0
324,Macskaalom,macskaalom-324,2dbc994ead763210e8c3e590,kisallat-321,1,0
