barcode,name,price_file1,price_file1_parsed,price_file2,price_file2_parsed,abs_diff,pct_vs_file1,pct_symmetric
5999550782380.0,Tanyasi friss csirke mellfilé,2666.84,2666.84,2666.84,2666.84,0.0,0.0,0.0
5999550782359.0,Tanyasi friss csirke zsigerelve belsőség nélkül,2744.55,2744.55,2744.55,2744.55,0.0,0.0,0.0
5999550782342.0,Tanyasi friss rántani való csirke zsigerelve belsőség nélkül,2770.3,2770.3,2770.3,2770.3,0.0,0.0,0.0
5999550780362.0,S-Budget Sülve-Főve Csirke friss csirke levescsomag,741.75,741.75,741.75,741.75,0.0,0.0,0.0
5999550780348.0,S-Budget Sülve-Főve Csirke friss csirkecomb farrésszel,788.4,788.4,788.4,788.4,0.0,0.0,0.0
5999550780263.0,S-Budget Sülve-Főve Csirke friss bőrös csontos csirkemell,1877.04,1877.04,1877.04,1877.04,0.0,0.0,0.0
5999550508782.0,Paprika étkezési csípős db,139.0,139.0,139.0,139.0,0.0,0.0,0.0
5999548850541.0,Vöröshagyma 1 kg,489.0,489.0,489.0,489.0,0.0,0.0,0.0
5999548675786.0,Classic gyorsfagyasztott garnélarák 400 g,3699.0,3699.0,3699.0,3699.0,0.0,0.0,0.0
5999548675618.0,Classic gyorsfagyasztott alaszkai tőkehalfilé 540 g,1799.0,1799.0,1799.0,1799.0,0.0,0.0,0.0
5999548675496.0,Royal gyorsfagyasztott gombakeverék 10% vargányával 350 g,1699.0,1699.0,1699.0,1699.0,0.0,0.0,0.0
5999548675489.0,Royal gyorsfagyasztott gombakeverék 65% erdei gombával 350 g,2299.0,2299.0,2299.0,2299.0,0.0,0.0,0.0
5999548675458.0,Royal gyorsfagyasztott darabolt shiitake gomba 350 g,1699.0,1699.0,1699.0,1699.0,0.0,0.0,0.0
5999548675441.0,Classic gyorsfagyasztott tilápia filé 540 g,2499.0,2499.0,2499.0,2499.0,0.0,0.0,0.0
5999548675403.0,Classic gyorsfagyasztott nílusi sügérfilé 540 g,3699.0,3699.0,3699.0,3699.0,0.0,0.0,0.0
5999548675335.0,Royal Quality Seafood gyorsfagyasztott hekk törzs 900 g,1999.0,1999.0,1999.0,1999.0,0.0,0.0,0.0
5999548675205.0,Classic füstölt makréla törzs 300 g,1999.0,1999.0,1999.0,1999.0,0.0,0.0,0.0
5999548675199.0,Classic gyorsfagyasztott szeletelt csiperkegomba 450 g,699.0,699.0,699.0,699.0,0.0,0.0,0.0
5999548675083.0,Royal fekete nyúlhal ikra 50 g,1639.0,1639.0,1639.0,1639.0,0.0,0.0,0.0
5999548675076.0,Royal vörös nyúlhal ikra 50 g,1639.0,1639.0,1639.0,1639.0,0.0,0.0,0.0
5999548674888.0,Classic gyorsfagyasztott csendes-óceáni lazac 540 g,3999.0,3999.0,3999.0,3999.0,0.0,0.0,0.0
5999548674253.0,Classic gyorsfagyasztott gurulós málna 250 g,1499.0,1499.0,1499.0,1499.0,0.0,0.0,0.0
5999559890499.0,"Gere - Schubert Irsai Olivér száraz fehérbor 11,5% 0,75 l",2049.0,2049.0,2049.0,2049.0,0.0,0.0,0.0
5999559890505.0,"Gere - Schubert Sauvignon Blanc száraz fehérbor 11,5% 0,75 l",2049.0,2049.0,2049.0,2049.0,0.0,0.0,0.0
5999559890529.0,"Gere - Schubert Rosé Cuvée száraz rosébor 12,5% 0,75 l",2049.0,2049.0,2049.0,2049.0,0.0,0.0,0.0
5999566203008.0,"Horizont Gentle Bastard West Coast IPA minőségi szűretlen világos sör 6,5% 330 ml",1149.0,1149.0,1149.0,1149.0,0.0,0.0,0.0
5999567470072.0,Polcz zöldséges lencseragu 350 g,1499.0,1499.0,1499.0,1499.0,0.0,0.0,0.0
5999567232618.0,"MONYO Cherry Hero Ale felsőerjesztésű szüretlen sör meggyel 4,3% 330 ml",1049.0,1049.0,1049.0,1049.0,0.0,0.0,0.0
5999567232557.0,"MONYO Cyber Rabbit New England IPA típusú szűretlen felsőerjesztésű sör 5,8% 330 ml",1049.0,1049.0,1049.0,1049.0,0.0,0.0,0.0
5999567232526.0,"MONYO Dead Rabbit Double West Coast IPA típusú szűretlen felsőerjesztésű sör 8,3% 330 ml",1049.0,1049.0,1049.0,1049.0,0.0,0.0,0.0
5999567232496.0,"MONYO Flying Rabbit India Pale Ale típusú szűretlen felsőerjesztésű sör 6,5% 330 ml",1049.0,1049.0,1049.0,1049.0,0.0,0.0,0.0
5999566243738.0,Ripp-Ropp Gourmet gyorsfagyasztott rántott gouda sajt 500 g,1699.0,1699.0,1699.0,1699.0,0.0,0.0,0.0
5999566243141.0,Ripp-Ropp Gourmet gyorsfagyasztott rántott sertéskaraj 600 g,1899.0,1899.0,1899.0,1899.0,0.0,0.0,0.0
5999566240942.0,Steak House gyorsfagyasztott rántott trappista sajt 500 g,2149.0,2149.0,2149.0,2149.0,0.0,0.0,0.0
5999566203381.0,Horizont Hop Session IPA szűretlen sör 4% 330 ml,949.0,949.0,949.0,949.0,0.0,0.0,0.0
5999566203046.0,"Horizont Morning Joe minőségi, szűretlen, kávéval és kakaóbabbal ízesített barna sör 6% 330 ml",1249.0,1249.0,1249.0,1249.0,0.0,0.0,0.0
5999566203015.0,Horizont Hazy Queen New England IPA minőségi szűretlen világos sör 6% 330 ml,1249.0,1249.0,1249.0,1249.0,0.0,0.0,0.0
5999565696474.0,Stühmer meggyes krémmel töltött étcsokoládé édesítőszerrel 100 g,1999.0,1999.0,1999.0,1999.0,0.0,0.0,0.0
5999564153497.0,Szafi Reform gluténmentes zabpehely 500 g,1499.0,1499.0,1499.0,1499.0,0.0,0.0,0.0
5999565695033.0,Stühmer tejcsokoládé 90 g,1999.0,1999.0,1999.0,1999.0,0.0,0.0,0.0
5999565693107.0,Stühmer narancsos krémmel töltött étcsokoládé édesítőszerrel 100 g,1999.0,1999.0,1999.0,1999.0,0.0,0.0,0.0
5999565690656.0,"Stühmer Narancsvirág kandírozott narancs csokoládékrémmel, étcsokoládéval mártva 200 g",3899.0,3899.0,3899.0,3899.0,0.0,0.0,0.0
5999565690052.0,Stühmer málnás krémmel töltött étcsokoládé 100 g,1999.0,1999.0,1999.0,1999.0,0.0,0.0,0.0
5999564157549.0,Szafi Free húsmentes zabfasírt alap 300 g,1699.0,1699.0,1699.0,1699.0,0.0,0.0,0.0
5999564157181.0,Szafi Free köles alapú palacsinta lisztkeverék 500 g,1999.0,1999.0,1999.0,1999.0,0.0,0.0,0.0
5999564156795.0,Szafi Free hagymás-tejfölös ízű lencse-hajdina chips 50 g,649.0,649.0,649.0,649.0,0.0,0.0,0.0
5999564156498.0,Szafi Free hajdina tallér 100 g,949.0,949.0,949.0,949.0,0.0,0.0,0.0
