store_name,product_name,api_step,api_unit,jellemzo,jellemzo_unit,nev_parse,kategoria,kozelebb_nevhez
Metro,Pöttyös Túró Rudi Epres 7 x 30 g,30,g,210,g,30g,egyeb,api
Metro,Pöttyös Óriás Laktózmentes Túró Rudi 6 x 51 g,51,g,305,g,51g,egyeb,api
Metro,Pöttyös Óriás Túró Rudi Madártejes 6 x 51 g,51,g,305,g,51g,egyeb,api
Metro,Pöttyös Óriás Túró Rudi Kókuszos 6 x 51 g,51,g,305,g,51g,egyeb,api
Metro,Pöttyös óriás Túró Rudi Mogyorós 6 x 51 g,51,g,305,g,51g,egyeb,api
Metro,Pöttyös Túró Rudi Pisztáciás 6 x 35 g,35,g,210,g,35g,egyeb,api
Metro,Pöttyös Túró Rudi Hozzáadott Cukor Nélkül Brownie Ízű 6 x 35 g,35,g,210,g,35g,egyeb,api
Metro,Pöttyös Túró Rudi 0% hozzáadott Cukorral 6 x 35 g,35,g,210,g,35g,egyeb,api
Metro,Nagy És Fia mézesduó tasakos kávékrémpor 100 x 25 g,25,g,250,g,25g,egyeb,api
Metro,Koliber Nyers Marha Hamburger Pogácsa 8 x 100 g,800,g,100,g,100g,ar_derivalt_API_hiba,jellemzo
Metro,METRO Chef Gyorsfagyasztott Brownie (16 x 62 g) 992 g,960,g,1000,g,992g,egyeb,jellemzo
Metro,CARTE D'OR Puncs Jégkrém 1 l,1000,ml,490,ml,1000ml,egyeb,api
Metro,CARTE D'OR sós karamelles tejjégkrém vajkaramella darabkákkal 1000 ml,1000,ml,500,ml,1000ml,egyeb,api
Metro,MAGNUM Double vaníliás jégkrém sós karamelles szósszal 310 ml,440,ml,310,ml,310ml,egyeb,jellemzo
Metro,MAGNUM Poharas Mandula Jégkrém 440 ml,440,ml,297,ml,440ml,egyeb,api
Metro,MAGNUM Dupla Gold Karamell Pálcikás Jégkrém 85 ml,85,ml,71,ml,85ml,egyeb,api
Metro,KING Ledo tejszín és fehércsokoládé ízű tejjégkrém kakaós kekszdarabokkal 100 ml,100,g,86,g,100ml,egyeb,?
Metro,"Kofa Premium darabolt ananász, cukrozott lében 565 g",340,g,565,g,565g,lecsopogtetett_konzerv,jellemzo
Metro,"Happy Frucht Szeletelt Ananász 3,05 kg",1790,g,3050,g,3050g,egyeb,jellemzo
Metro,"Happy Frucht Felezett Őszibarack 2,6 kg",1600,g,2600,g,2600g,egyeb,jellemzo
Metro,"Beach Flower hámozott, szeletelt, enyhén cukrozott mangó befőtt 425 g",230,g,425,g,425g,lecsopogtetett_konzerv,jellemzo
Metro,Beach Flower Exotic enyhén cukrozott licsi befőtt 567 g,230,g,567,g,567g,lecsopogtetett_konzerv,jellemzo
Metro,Giana Sárgabarack Befőtt 820 g,470,g,820,g,820g,lecsopogtetett_konzerv,jellemzo
