store_name,store_product_id,product_name,unit_step,unit_type,tipus,javasolt_mennyiseg,javasolt_egyseg,bizonyossag,indok,local_image_paths
Aldi,534434,"HÚSMESTER Csirkemellfilé védőgázas csomagolásban, /kg",1000.0,g,ledig,,g,auto,bolti ledig jelzes; lepeskoz volt: 1000.0 g,data/markets_data/product_images/aldi/3e8b32223a09e6d8.jpg
Aldi,534145,"HÚSMESTER Csirkeszárny kétízületes vákuumcsomagolt, /kg",1000.0,g,ledig,,g,auto,bolti ledig jelzes; lepeskoz volt: 1000.0 g,data/markets_data/product_images/aldi/e28904859d3a6244.jpg
Aldi,534109,HÚSMESTER Sertés húsos csont vákuumcsomagolt / kg,1000.0,g,ledig,,g,auto,bolti ledig jelzes; lepeskoz volt: 1000.0 g,data/markets_data/product_images/aldi/21c83fddf880b222.jpg
Aldi,534431,HÚSMESTER Levesmix /kg,1000.0,g,ledig,,g,auto,bolti ledig jelzes; lepeskoz volt: 1000.0 g,data/markets_data/product_images/aldi/7d4ab22fe6bcf307.jpg
Aldi,771695,"HÚSMESTER Csirkecomb egész, vákuumcsomagolt /kg",1000.0,g,ledig,,g,auto,bolti ledig jelzes; lepeskoz volt: 1000.0 g,data/markets_data/product_images/aldi/8fc46273134035d7.jpg
Aldi,534212,"HÚSMESTER Csirkefelsőcomb védőgázas csomagolásban, /kg",1000.0,g,ledig,,g,auto,bolti ledig jelzes; lepeskoz volt: 1000.0 g,data/markets_data/product_images/aldi/734ff0ecceefe9bc.jpg
Aldi,534436,"HÚSMESTER Csirkealsócomb védőgázas csomagolásban, /kg",1000.0,g,ledig,,g,auto,bolti ledig jelzes; lepeskoz volt: 1000.0 g,data/markets_data/product_images/aldi/c413bca49c6fec0f.jpg
Aldi,538910,"MASTER GOOD Grillcsirke GMO-mentes, /kg",1000.0,g,ledig,,g,auto,bolti ledig jelzes; lepeskoz volt: 1000.0 g,data/markets_data/product_images/aldi/8bb3c05e8dca7996.jpg
Aldi,885312,HÚSMESTER Csirkecombfilé vákuumcsomagolt /kg,1000.0,g,ledig,,g,auto,bolti ledig jelzes; lepeskoz volt: 1000.0 g,data/markets_data/product_images/aldi/c38c97345a4e98ca.jpg
Aldi,891129,"HÚSMESTER Sertéskaraj lánccal, darabolt, vákuumcsomagolt /kg",1000.0,g,ledig,,g,auto,bolti ledig jelzes; lepeskoz volt: 1000.0 g,data/markets_data/product_images/aldi/285d554df0b9adc4.jpg
Aldi,534110,"HÚSMESTER Sertéslapocka darabolt, vákuumcsomagolt, /kg",1000.0,g,ledig,,g,auto,bolti ledig jelzes; lepeskoz volt: 1000.0 g,data/markets_data/product_images/aldi/0a29cff250a70a94.jpg
Aldi,534094,"HÚSMESTER Sertésoldalas vákuumcsomagolt, /kg",1000.0,g,ledig,,g,auto,bolti ledig jelzes; lepeskoz volt: 1000.0 g,data/markets_data/product_images/aldi/e40968fda61c2cf4.jpg
Aldi,534102,"HÚSMESTER Sertéstarja darabolt, vákumcsomagolt, /kg",1000.0,g,ledig,,g,auto,bolti ledig jelzes; lepeskoz volt: 1000.0 g,data/markets_data/product_images/aldi/4efbe64beffbac69.jpg
Aldi,534112,"HÚSMESTER Sertéskaraj darabolt, vákuumcsomagolt, /kg",1000.0,g,ledig,,g,auto,bolti ledig jelzes; lepeskoz volt: 1000.0 g,data/markets_data/product_images/aldi/cf70386c28d84cdd.jpg
Aldi,810990,"HÚSMESTER Pulykamellfilé vákuumcsomagolt, /kg",1000.0,g,ledig,,g,auto,bolti ledig jelzes; lepeskoz volt: 1000.0 g,data/markets_data/product_images/aldi/5f71f8165eefd875.jpg
Aldi,534067,"HÚSMESTER Sertés szűzpecsenye, vákuumcsomagolt, /kg",1000.0,g,ledig,,g,auto,bolti ledig jelzes; lepeskoz volt: 1000.0 g,data/markets_data/product_images/aldi/6e9f50a5ea0103ed.jpg
Aldi,534196,"HÚSMESTER Csirke farhát, /kg",1000.0,g,ledig,,g,auto,bolti ledig jelzes; lepeskoz volt: 1000.0 g,data/markets_data/product_images/aldi/7f28ea69113c26bd.jpg
Aldi,534410,"HÚSMESTER Grillcsirke, /kg",1000.0,g,ledig,,g,auto,bolti ledig jelzes; lepeskoz volt: 1000.0 g,data/markets_data/product_images/aldi/4984a826e6ca427b.jpg
Aldi,811872,"TESOROS DEL SUR Gran Reserva szeletelt sonka, 80 g",90.0,g,nev_elteres,80.0,g,review,"nev szerint 80 g, API szerint 90.0 g (elteres 11%)",data/markets_data/product_images/aldi/cf6794f771c4d607.jpg
Aldi,1019111,"TESOROS DEL SUR Serrano sonka, 100 g",90.0,g,nev_elteres,100.0,g,review,"nev szerint 100 g, API szerint 90.0 g (elteres 10%)",data/markets_data/product_images/aldi/9569efb7e180e590.jpg
