store_name,store_product_id,product_name,korrekcio_tipus,eredeti_mennyiseg,eredeti_egyseg,javitott_mennyiseg,javitott_egyseg,indok,forras
Auchan,4042:4042,Royal Gála alma lédig,ledig,1000.0,g,,g,bolti ledig/sulyra mert jelzes - egysegar hasznalando,bolti_api
Auchan,27595:27598,Conference körte lédig,ledig,1000.0,g,,g,bolti ledig/sulyra mert jelzes - egysegar hasznalando,bolti_api
Auchan,4048:4048,Granny Smith alma lédig,ledig,1000.0,g,,g,bolti ledig/sulyra mert jelzes - egysegar hasznalando,bolti_api
Auchan,5716:5719,Alma Pink lady lédig,ledig,1000.0,g,,g,bolti ledig/sulyra mert jelzes - egysegar hasznalando,bolti_api
Auchan,24052:24055,Banán lédig,ledig,1000.0,g,,g,bolti ledig/sulyra mert jelzes - egysegar hasznalando,bolti_api
Auchan,264263:3801545,Ananász lédig,ledig,1000.0,g,,g,bolti ledig/sulyra mert jelzes - egysegar hasznalando,bolti_api
Auchan,11578:11581,Piros grapefruit lédig,ledig,1000.0,g,,g,bolti ledig/sulyra mert jelzes - egysegar hasznalando,bolti_api
Auchan,28327:28330,Gyömbér lédig,ledig,1000.0,g,,g,bolti ledig/sulyra mert jelzes - egysegar hasznalando,bolti_api
Auchan,24079:24082,Görögdinnye lédig,ledig,1000.0,g,,g,bolti ledig/sulyra mert jelzes - egysegar hasznalando,bolti_api
Auchan,3154:3154,Görögdinnye magszegény lédig,ledig,1000.0,g,,g,bolti ledig/sulyra mert jelzes - egysegar hasznalando,bolti_api
Auchan,4981:4981,Mézdinnye lédig,ledig,1000.0,g,,g,bolti ledig/sulyra mert jelzes - egysegar hasznalando,bolti_api
Auchan,7408:7411,Sárgadinnye piel de sapo lédig,ledig,1000.0,g,,g,bolti ledig/sulyra mert jelzes - egysegar hasznalando,bolti_api
Auchan,24109:24112,Sárgadinnye lédig,ledig,1000.0,g,,g,bolti ledig/sulyra mert jelzes - egysegar hasznalando,bolti_api
Auchan,769539:4306929,Pörkölt földimogyoró lédig,ledig,1000.0,g,,g,bolti ledig/sulyra mert jelzes - egysegar hasznalando,bolti_api
Auchan,61094:3598181,Piros újburgonya lédig,ledig,1000.0,g,,g,bolti ledig/sulyra mert jelzes - egysegar hasznalando,bolti_api
Auchan,4024:4024,Édes burgonya lédig,ledig,1000.0,g,,g,bolti ledig/sulyra mert jelzes - egysegar hasznalando,bolti_api
Auchan,20170:20173,Új fejes káposzta lédig,ledig,1000.0,g,,g,bolti ledig/sulyra mert jelzes - egysegar hasznalando,bolti_api
Auchan,22537:22540,Vörös káposzta lédig,ledig,1000.0,g,,g,bolti ledig/sulyra mert jelzes - egysegar hasznalando,bolti_api
Auchan,50808:51147,Új kelkáposzta lédig,ledig,1000.0,g,,g,bolti ledig/sulyra mert jelzes - egysegar hasznalando,bolti_api
Auchan,546887:4084277,Gazdától az asztalig Félegyházi paradicsom lédig,ledig,1000.0,g,,g,bolti ledig/sulyra mert jelzes - egysegar hasznalando,bolti_api
Auchan,22669:22672,Zellergumó lédig,ledig,1000.0,g,,g,bolti ledig/sulyra mert jelzes - egysegar hasznalando,bolti_api
Auchan,35305:35308,Petrezselyemgyökér lédig,ledig,1000.0,g,,g,bolti ledig/sulyra mert jelzes - egysegar hasznalando,bolti_api
Auchan,11791:11794,Uborka kovászolni való lédig,ledig,1000.0,g,,g,bolti ledig/sulyra mert jelzes - egysegar hasznalando,bolti_api
Auchan,22603:22606,Uborka fürtös lédig,ledig,1000.0,g,,g,bolti ledig/sulyra mert jelzes - egysegar hasznalando,bolti_api
Auchan,23029:23032,Főzőtök lédig,ledig,1000.0,g,,g,bolti ledig/sulyra mert jelzes - egysegar hasznalando,bolti_api
