barcode_norm,product_name_old,product_name_new,category_norm_old,category_norm_new,category_base_old,category_base_new,unit_price_old,unit_price_new
5997347540052,"Mogyi Protein Mix pirított, sózott magvak és pirított szójabab 70 g","Mogyi Protein Mix pirított, sózott magvak és pirított szójabab 70 g",alkoholmentes-pezsgo-187,voros-bor-191,alkoholmentes-pezsgo,voros-bor,644.0,644.0
5997347539995,Mogyi füstölt paprika ízű földimogyoró 130 g,Mogyi füstölt paprika ízű földimogyoró 130 g,alkoholmentes-pezsgo-187,voros-bor-191,alkoholmentes-pezsgo,voros-bor,649.0,649.0
5997347540205,"Mogyi hántolt, pirított, sózott napraforgómag 70 g","Mogyi hántolt, pirított, sózott napraforgómag 70 g",alkoholmentes-pezsgo-187,voros-bor-191,alkoholmentes-pezsgo,voros-bor,524.0,524.0
5997347541608,"Mogyi hántolt, pirított, sózott tökmag 70 g","Mogyi hántolt, pirított, sózott tökmag 70 g",alkoholmentes-pezsgo-187,voros-bor-191,alkoholmentes-pezsgo,voros-bor,650.0,650.0
5997347540335,"Mogyi hántolt, pörkölt, sózott napraforgómag 70 g","Mogyi hántolt, pörkölt, sózott napraforgómag 70 g",alkoholmentes-pezsgo-187,voros-bor-191,alkoholmentes-pezsgo,voros-bor,524.0,524.0
5997347541356,Mogyi pirított mogyoróbél 60 g,Mogyi pirított mogyoróbél 60 g,alkoholmentes-pezsgo-187,voros-bor-191,alkoholmentes-pezsgo,voros-bor,1079.0,1079.0
5997347541790,Mogyi pirított sózott héjas pisztácia 140 g,Mogyi pirított sózott héjas pisztácia 140 g,alkoholmentes-pezsgo-187,voros-bor-191,alkoholmentes-pezsgo,voros-bor,1784.0,1784.0
5997347542773,Mogyi pirított sózott héjas pisztácia 60 g,Mogyi pirított sózott héjas pisztácia 60 g,alkoholmentes-pezsgo-187,voros-bor-191,alkoholmentes-pezsgo,voros-bor,829.0,829.0
5997347540236,"Mogyi pirított, sózott földimogyoró 150 g","Mogyi pirított, sózott földimogyoró 150 g",alkoholmentes-pezsgo-187,voros-bor-191,alkoholmentes-pezsgo,voros-bor,864.0,864.0
5997347540229,"Mogyi pirított, sózott kesudió 120 g","Mogyi pirított, sózott kesudió 120 g",alkoholmentes-pezsgo-187,voros-bor-191,alkoholmentes-pezsgo,voros-bor,1784.0,1784.0
5997347541066,Mogyi pörkölt sótlan földimogyoró 150 g,Mogyi pörkölt sótlan földimogyoró 150 g,alkoholmentes-pezsgo-187,voros-bor-191,alkoholmentes-pezsgo,voros-bor,864.0,864.0
5997347541059,"Mogyi pörkölt, sótlan földimogyoró 300 g","Mogyi pörkölt, sótlan földimogyoró 300 g",alkoholmentes-pezsgo-187,voros-bor-191,alkoholmentes-pezsgo,voros-bor,1514.0,1514.0
5997347541042,"Mogyi pörkölt, sózott földimogyoró 150 g","Mogyi pörkölt, sózott földimogyoró 150 g",alkoholmentes-pezsgo-187,voros-bor-191,alkoholmentes-pezsgo,voros-bor,864.0,864.0
5997347541073,"Mogyi pörkölt, sózott földimogyoró 300 g","Mogyi pörkölt, sózott földimogyoró 300 g",alkoholmentes-pezsgo-187,voros-bor-191,alkoholmentes-pezsgo,voros-bor,1514.0,1514.0
5997347540373,"Mogyi pörkölt, sózott földimogyoró 70 g","Mogyi pörkölt, sózott földimogyoró 70 g",alkoholmentes-pezsgo-187,voros-bor-191,alkoholmentes-pezsgo,voros-bor,434.0,434.0
5997347542766,"Mogyi pörkölt, sózott kesudió 70 g","Mogyi pörkölt, sózott kesudió 70 g",alkoholmentes-pezsgo-187,voros-bor-191,alkoholmentes-pezsgo,voros-bor,829.0,829.0
5997347542759,"Mogyi pörkölt, sózott mandula 70 g","Mogyi pörkölt, sózott mandula 70 g",alkoholmentes-pezsgo-187,voros-bor-191,alkoholmentes-pezsgo,voros-bor,829.0,829.0
5997347539988,Mogyi sós-karamellás földimogyoró 130 g,Mogyi sós-karamellás földimogyoró 130 g,alkoholmentes-pezsgo-187,voros-bor-191,alkoholmentes-pezsgo,voros-bor,649.0,649.0
5999033898973,"S-Budget Diákcsemege mazsola, földimogyoró, mogyoró, mandula és kesudió keveréke 100 g","S-Budget Diákcsemege mazsola, földimogyoró, mogyoró, mandula és kesudió keveréke 100 g",alkoholmentes-pezsgo-187,voros-bor-191,alkoholmentes-pezsgo,voros-bor,529.0,529.0
9100000087320,S-Budget földimogyorós extrudált kukorica snack 200 g,S-Budget földimogyorós extrudált kukorica snack 200 g,alkoholmentes-pezsgo-187,voros-bor-191,alkoholmentes-pezsgo,voros-bor,704.0,675.0
