barcode,product_name,unit_price,categories,image_urls
8711000539330,Jacobs Krönung Signature szemes pörkölt kávé 1000 g,9029.0,asvanyviz-138,https://imageproxy.wolt.com/assets/69c1801a8b41e83846b01d3f
8711000545782,Douwe Egberts Omnia Crema őrölt-pörkölt kávé kapszulában 20 db 104 g,3044.0,100-os-gyumolcs-es-zoldseglevek-137,https://imageproxy.wolt.com/assets/6943f4003f31751f2f33887a;https://imageproxy.wolt.com/assets/6943f4003f31751f2f338879
8711000589779,"Pickwick Fruit Fusion gyümölcs- és gyógynövénytea variációk 20 filter 38,75 g",919.0,icetea-143,https://imageproxy.wolt.com/assets/6943f3f03f31751f2f338860;https://imageproxy.wolt.com/assets/6943f3f03f31751f2f338861
8711000589809,"Pickwick gyümölcs- és gyógynövénytea variációk 20 filter 38,75 g",919.0,energiaital-142,https://imageproxy.wolt.com/assets/6943f3f23f31751f2f338863;https://imageproxy.wolt.com/assets/6943f3f23f31751f2f338862
8711000589830,"Pickwick gyümölcs- és gyógynövénytea variációk 20 filter 37,5 g",919.0,energiaital-142,https://imageproxy.wolt.com/assets/6943f3f43f31751f2f338865;https://imageproxy.wolt.com/assets/6943f3f43f31751f2f338864
8711000597897,L'OR Espresso Capri Dolce Vita Ristretto őrölt-pörkölt kávé kapszulában 10 db 52 g,1994.0,100-os-gyumolcs-es-zoldseglevek-137,https://imageproxy.wolt.com/assets/69c180188b41e83846b01d3b;https://imageproxy.wolt.com/assets/69c180188b41e83846b01d3c
8711000609064,L'OR Espresso Dubai csokoládé- és pisztáciaízű őrölt-pörkölt kávé kapszulában 10 db 52 g,1994.0,100-os-gyumolcs-es-zoldseglevek-137,
8711200405923,Globus csípős ketchup 470 g,1314.0,tapszerek-224,https://imageproxy.wolt.com/assets/69d83da9f17312ee6578f181
8711200529995,Knorr kínai édes-savanyú csirke alap 66 g,629.0,vilagos-sor-231,https://imageproxy.wolt.com/assets/69e1784a609eafedc63bc527
8711327406391,Knorr marhahúsleves cérnametélttel 76 g,689.0,kezmuves-sor-230,https://imageproxy.wolt.com/assets/69e17891609eafedc63bc565
8711600283039,Flóraszept konyhai zsíroldó 750 ml,1364.0,cukrasz-termekek-274,https://imageproxy.wolt.com/assets/69e17aba609eafedc63bc6ff
8711600283060,Flóraszept fürdőszobai tisztítószer 750 ml,1364.0,glutenmentes-termekek-275,https://imageproxy.wolt.com/assets/69e17ab9609eafedc63bc6fe
8711600368804,Dove Essential Care testápoló száraz bőrre 400 ml,2519.0,dobozos-uditoitalok-305,https://imageproxy.wolt.com/assets/69c57446e24f4a9d75093b8e
8712100328985,Knorr sajtkrémleves brokkolival 43 g,689.0,kezmuves-sor-230,https://imageproxy.wolt.com/assets/69e17830609eafedc63bc4fb
8712100379482,Knorr bolognai spagetti alap 89 g,765.0,vilagos-sor-231,https://imageproxy.wolt.com/assets/695fa3e417906cb1450ae9cb
8712100866845,Knorr Cup a Soup instant 3 sajtkrémleves zsemlekockával 17 g,314.0,kezmuves-sor-230,https://imageproxy.wolt.com/assets/69e1795c609eafedc63bc619
8712100867057,Knorr Cup a Soup intant paradicsomleves tésztával 19 g,404.0,kezmuves-sor-230,https://imageproxy.wolt.com/assets/69e17958609eafedc63bc617
8712100867446,Knorr Cup a Soup instant vargányakrémleves zsemlekockával 15 g,404.0,kezmuves-sor-230,https://imageproxy.wolt.com/assets/69e1789f609eafedc63bc56e
8712100867507,Knorr Cup a Soup instant tyúkhúsleves tésztával 12 g,314.0,kezmuves-sor-230,https://imageproxy.wolt.com/assets/69e1795a609eafedc63bc618
8712100867569,Knorr Cup a Soup instant gombakrémleves zsemlekockával 15 g,314.0,kezmuves-sor-230,https://imageproxy.wolt.com/assets/69e17960609eafedc63bc61b
8712100867682,Knorr Cup a Soup instant csirkekrémleves zsemlekockával 16 g,314.0,kezmuves-sor-230,https://imageproxy.wolt.com/assets/69e178a1609eafedc63bc56f
8712100867743,Knorr Cup a Soup instant sajtkrémleves zsemlekockával 22 g,404.0,kezmuves-sor-230,https://imageproxy.wolt.com/assets/69e178a3609eafedc63bc570
8712100868467,Knorr Cup a Soup instant brokkolikrémleves zsemlekockával 16 g,314.0,kezmuves-sor-230,https://imageproxy.wolt.com/assets/69e178a8609eafedc63bc572
8712561480369,Vaseline Intensive Care Advanced Repair testápoló 400 ml,2099.0,dobozos-uditoitalok-305,https://imageproxy.wolt.com/assets/68ecf187190712a29dd2f817
8712561482318,Vaseline Intensive Care Aloe Soothe testápoló 400 ml,2099.0,dobozos-uditoitalok-305,https://imageproxy.wolt.com/assets/69b00eebf15f84d5e8dfcd1d
8712561483162,Vaseline Intensive Care Cocoa Radiant testápoló 400 ml,2099.0,dobozos-uditoitalok-305,https://imageproxy.wolt.com/assets/68ecf186190712a29dd2f816
8712561484398,Vaseline Intensive Care Essential Healing testápoló 400 ml,2099.0,dobozos-uditoitalok-305,https://imageproxy.wolt.com/assets/68ecf189190712a29dd2f818
8712561552905,Cif Cleanboost Cream Original súrolókrém 500 ml,1344.0,cukrasz-termekek-274,https://imageproxy.wolt.com/assets/69e17910609eafedc63bc5da
8712566055050,Knorr brokkolikrémleves karfiollal 51 g,689.0,kezmuves-sor-230,https://imageproxy.wolt.com/assets/69e17955609eafedc63bc615
8712566157983,Knorr milánói makaróni alap 60 g,545.0,vilagos-sor-231,https://imageproxy.wolt.com/assets/69e17924609eafedc63bc5f9
